Sectores/unidad;Periodo;Total
Total (miles de euros);1964;10.054,9
Administración Pública: Total (miles de euros);2010;2.930.562,4
Administración Pública: Total (miles de euros);2008;2.672.288,1
Administración Pública: Total (miles de euros);2007;2.348.843,4
Administración Pública: Total (miles de euros);2006;1.970.823,5
Administración Pública: Total (miles de euros);2005;1.738.052,9
Administración Pública: Total (miles de euros);2004;1.427.503,6
Administración Pública: Total (miles de euros);2003;1.261.762,8
Administración Pública: Total (miles de euros);2002;1.107.815,0
Administración Pública: Total (miles de euros);2001(*);989.349,0
Administración Pública: Total (miles de euros);2001;989.011,1
Administración Pública: Total (miles de euros);1999;843.262,1
Administración Pública: Total (miles de euros);1998;767.300,1
Administración Pública: Total (miles de euros);1997;701.549,4
Administración Pública: Total (miles de euros);1996;704.933,1
Administración Pública: Total (miles de euros);1995;661.119,3
Administración Pública: Total (miles de euros);1994;681.812,2
Administración Pública: Total (miles de euros);1993;670.092,4
Administración Pública: Total (miles de euros);1992;649.303,4
Administración Pública: Total (miles de euros);1991;612.725,8
Administración Pública: Total (miles de euros);1989;463.602,7
Administración Pública: Total (miles de euros);1988;400.784,9
Administración Pública: Total (miles de euros);1987;349.716,9
Administración Pública: Total (miles de euros);1986;295.800,1
Administración Pública: Total (miles de euros);1985;225.734,1
Administración Pública: Total (miles de euros);1984;196.867,5
Administración Pública: Total (miles de euros);1983;184.805,2
Administración Pública: Total (miles de euros);1982;165.987,5
Administración Pública: Total (miles de euros);1981;138.136,6
Administración Pública: Total (miles de euros);1979;97.057,4
Administración Pública: Total (miles de euros);1978;73.581,9
Administración Pública: Total (miles de euros);1977;..
Administración Pública: Total (miles de euros);1976;54.037,0
Administración Pública: Total (miles de euros);1975;45.604,8
Administración Pública: Total (miles de euros);1974;33.716,8
Administración Pública: Total (miles de euros);1973;30.020,6
Administración Pública: Total (miles de euros);1972;27.514,3
Administración Pública: Total (miles de euros);1971;22.249,5
Administración Pública: Total (miles de euros);1969;15.494,1
Administración Pública: Total (miles de euros);1968;..
Administración Pública: Total (miles de euros);1967;11.106,7
Administración Pública: Total (miles de euros);1966;..
Administración Pública: Total (miles de euros);1965;..
Administración Pública: Total (miles de euros);1964;6.845,5
Administración Pública: %;2010;20,1
Administración Pública: %;2009;20,1
Administración Pública: %;2008;18,2
Administración Pública: %;2006;16,7
Administración Pública: %;2005;17,0
Administración Pública: %;2004;16,0
Administración Pública: %;2003;15,4
Administración Pública: %;2002;15,4
Administración Pública: %;2001(*);15,2
Administración Pública: %;2001;15,9
Administración Pública: %;2000;15,8
Administración Pública: %;1999;16,9
Administración Pública: %;1997;17,4
Total (miles de euros);2001(*);6.496.011,0
Total (miles de euros);1992;3.244.978,5
Total (miles de euros);1982;576.983,6
Total (miles de euros);1972;59.247,8
Administración Pública: Total (miles de euros);2009;2.926.733,2
Administración Pública: Total (miles de euros);2000;904.776,1
Administración Pública: Total (miles de euros);1990;544.168,4
Administración Pública: Total (miles de euros);1980;116.121,5
Administración Pública: Total (miles de euros);1970;18.174,6
Administración Pública: %;2007;17,6
Administración Pública: %;1998;16,3
Administración Pública: %;1988;23,2
Administración Pública: %;1978;30,9
Administración Pública: %;1968;..
Enseñanza Superior: Total (miles de euros);2005;2.959.927,7
Enseñanza Superior: Total (miles de euros);1996;1.242.700,7
Enseñanza Superior: Total (miles de euros);1986;221.040,2
Enseñanza Superior: Total (miles de euros);1976;9.321,7
Enseñanza Superior: Total (miles de euros);1966;..
Enseñanza superior: %;2003;30,3
Enseñanza superior: %;1994;31,6
Enseñanza superior: %;1984;22,2
Enseñanza superior: %;1974;5,2
Enseñanza superior: %;1964;6,4
Empresas: Total (miles de euros);2001(*);3.529.406,0
Empresas: Total (miles de euros);1992;1.639.014,1
Empresas: Total (miles de euros);1982;281.646,3
Empresas: Total (miles de euros);1972;27.285,9
Empresas: %;2009;51,9
Empresas: %;2000;53,7
Empresas: %;1990;57,8
Empresas: %;1980;49,9
Empresas: %;1970;42,4
IPSFL: Total (miles de euros);2007;21.030,8
IPSFL: Total (miles de euros);1998;51.867,3
IPSFL: Total (miles de euros);1988;13.631,0
IPSFL: Total (miles de euros);1978;..
IPSFL: Total (miles de euros);1968;..
IPSFL: %;2005;0,1
IPSFL: %;1996;1,1
IPSFL: %;1986;0,7
IPSFL: %;1976;0,5
IPSFL: %;1966;..
