Sectores de ejecución;Period;Total
PIB;1995;437,787
PIB;1994;64,812
PIB;1993;60,953
PIB;1991;54,927
PIB;1990;50,145
PIB;1989;45,044
PIB;1988;40,159
PIB;1987;36,144
PIB;1986;32,324
PIB;1985;28,201
PIB;1984;25,520
PIB;1983;22,532
PIB;1981;17,045
(Gastos I+D/PIB)*100: Total;2009;1.38
(Gastos I+D/PIB)*100: Total;2008;1.35
(Gastos I+D/PIB)*100: Total;2007;1.27
(Gastos I+D/PIB)*100: Total;2006;1.20
(Gastos I+D/PIB)*100: Total;2005;1.12
(Gastos I+D/PIB)*100: Total;2004;1.06
(Gastos I+D/PIB)*100: Total;2003;1.05
(Gastos I+D/PIB)*100: Total;2002;0.99
(Gastos I+D/PIB)*100: Total;2001;0.91
(Gastos I+D/PIB)*100: Total;2000 (*);0.91
(Gastos I+D/PIB)*100: Total;2000;0.94
(Gastos I+D/PIB)*100: Total;1999;0.88
(Gastos I+D/PIB)*100: Total;1998;0.89
(Gastos I+D/PIB)*100: Total;1997;0.82
(Gastos I+D/PIB)*100: Total;1996;0.83
(Gastos I+D/PIB)*100: Total;1995;0.81
(Gastos I+D/PIB)*100: Total;1994;0.85
(Gastos I+D/PIB)*100: Total;1992;0.91
(Gastos I+D/PIB)*100: Total;1991;0.87
(Gastos I+D/PIB)*100: Total;1990;0.85
(Gastos I+D/PIB)*100: Total;1989;0.75
(Gastos I+D/PIB)*100: Total;1988;0.72
(Gastos I+D/PIB)*100: Total;1987;0.64
(Gastos I+D/PIB)*100: Total;1986;0.61
(Gastos I+D/PIB)*100: Total;1985;0.55
(Gastos I+D/PIB)*100: Total;1984;0.50
(Gastos I+D/PIB)*100: Total;1982;0.49
(Gastos I+D/PIB)*100: Total;1981;0.43
(Gastos I+D/PIB)*100: Administración Pública;2009;0.28
(Gastos I+D/PIB)*100: Administración Pública;2008;0.25
(Gastos I+D/PIB)*100: Administración Pública;2007;0.22
(Gastos I+D/PIB)*100: Administración Pública;2006;0.20
(Gastos I+D/PIB)*100: Administración Pública;2005;0.19
(Gastos I+D/PIB)*100: Administración Pública;2004;0.17
(Gastos I+D/PIB)*100: Administración Pública;2003;0.16
(Gastos I+D/PIB)*100: Administración Pública;2001(*);0.15
(Gastos I+D/PIB)*100: Administración Pública;2001;0.15
(Gastos I+D/PIB)*100: Administración Pública;2000 (*);0.14
(Gastos I+D/PIB)*100: Administración Pública;2000;0.15
(Gastos I+D/PIB)*100: Administración Pública;1999;0.15
(Gastos I+D/PIB)*100: Administración Pública;1998;0.15
(Gastos I+D/PIB)*100: Administración Pública;1997;0.14
(Gastos I+D/PIB)*100: Administración Pública;1996;0.15
(Gastos I+D/PIB)*100: Administración Pública;1995;0.15
(Gastos I+D/PIB)*100: Administración Pública;1993;0.18
(Gastos I+D/PIB)*100: Administración Pública;1992;0.18
(Gastos I+D/PIB)*100: Administración Pública;1991;0.19
(Gastos I+D/PIB)*100: Administración Pública;1990;0.18
(Gastos I+D/PIB)*100: Administración Pública;1989;0.17
(Gastos I+D/PIB)*100: Administración Pública;1988;0.17
(Gastos I+D/PIB)*100: Administración Pública;1987;0.16
(Gastos I+D/PIB)*100: Administración Pública;1986;0.15
(Gastos I+D/PIB)*100: Administración Pública;1985;0.13
(Gastos I+D/PIB)*100: Administración Pública;1983;0.14
(Gastos I+D/PIB)*100: Administración Pública;1982;0.14
(Gastos I+D/PIB)*100: Administración Pública;1981;0.14
(Gastos I+D/PIB)*100: Enseñanza superior;2009;0.39
(Gastos I+D/PIB)*100: Enseñanza superior;2008;0.36
(Gastos I+D/PIB)*100: Enseñanza superior;2007;0.33
(Gastos I+D/PIB)*100: Enseñanza superior;2006;0.33
(Gastos I+D/PIB)*100: Enseñanza superior;2005;0.33
(Gastos I+D/PIB)*100: Enseñanza superior;2004;0.31
(Gastos I+D/PIB)*100: Enseñanza superior;2002;0.29
(Gastos I+D/PIB)*100: Enseñanza superior;2001(*);0.28
(Gastos I+D/PIB)*100: Enseñanza superior;2001;0.28
(Gastos I+D/PIB)*100: Enseñanza superior;2000 (*);0.27
(Gastos I+D/PIB)*100: Enseñanza superior;2000;0.28
(Gastos I+D/PIB)*100: Enseñanza superior;1999;0.27
(Gastos I+D/PIB)*100: Enseñanza superior;1998;0.27
(Gastos I+D/PIB)*100: Enseñanza superior;1997;0.27
(Gastos I+D/PIB)*100: Enseñanza superior;1996;0.27
(Gastos I+D/PIB)*100: Enseñanza superior;1994;0.27
PIB;2001;680,678
PIB;1992;59,105
PIB;1982;19,723
(Gastos I+D/PIB)*100: Total;2001(*);0.95
(Gastos I+D/PIB)*100: Total;1993;0.91
(Gastos I+D/PIB)*100: Total;1983;0.48
(Gastos I+D/PIB)*100: Administración Pública;2002;0.15
(Gastos I+D/PIB)*100: Administración Pública;1994;0.17
(Gastos I+D/PIB)*100: Administración Pública;1984;0.13
(Gastos I+D/PIB)*100: Enseñanza superior;2003;0.32
(Gastos I+D/PIB)*100: Enseñanza superior;1995;0.26
(Gastos I+D/PIB)*100: Enseñanza superior;1985;0.11
(Gastos I+D/PIB)*100: Empresas e IPFSL;2004;0.58
(Gastos I+D/PIB)*100: Empresas e IPFSL;1996;0.41
(Gastos I+D/PIB)*100: Empresas e IPFSL;1986;0.34
