Origen de los fondos/unidad	Periodo	Total
Total (miles de euros)	1981	437.615
Administración Pública: Total (miles de euros)	2008	7.173.324
Administración Pública: Total (miles de euros)	2007	6.269.142
Administración Pública: Total (miles de euros)	2006	5.486.123
Administración Pública: Total (miles de euros)	2005	4.803.811
Administración Pública: Total (miles de euros)	2004	4.038.656
Administración Pública: Total (miles de euros)	2003	3.733.556
Administración Pública: Total (miles de euros)	2002	3.137.798
Administración Pública: Total (miles de euros)	2001	2.796.596
Administración Pública: Total (miles de euros)	2000	2.479.598
Administración Pública: Total (miles de euros)	1998	2.015.121
Administración Pública: Total (miles de euros)	1997	1.931.713
Administración Pública: Total (miles de euros)	1996	1.848.497
Administración Pública: Total (miles de euros)	1995	1.703.767
Administración Pública: Total (miles de euros)	1994	1.725.656
Administración Pública: Total (miles de euros)	1993	1.728.144
Administración Pública: Total (miles de euros)	1992	1.628.809
Administración Pública: Total (miles de euros)	1991	1.317.046
Administración Pública: Total (miles de euros)	1990	1.152.471
Administración Pública: Total (miles de euros)	1988	844.085
Administración Pública: Total (miles de euros)	1987	701.321
Administración Pública: Total (miles de euros)	1986	572.482
Administración Pública: Total (miles de euros)	1985	445.681
Administración Pública: Total (miles de euros)	1984	381.859
Administración Pública: Total (miles de euros)	1983	341.778
Administración Pública: Total (miles de euros)	1982	304.539
Administración Pública: Total (miles de euros)	1981	245.117
Administración Pública: %	2009	50,6
Administración Pública: %	2007	47,0
Administración Pública: %	2006	46,4
Administración Pública: %	2005	47,1
Administración Pública: %	2004	45,1
Administración Pública: %	2003	45,5
Administración Pública: %	2002	43,6
Administración Pública: %	2001	43,1
Administración Pública: %	2000	43,4
Administración Pública: %	1999	44,7
Administración Pública: %	1997	47,8
Administración Pública: %	1996	48,0
Administración Pública: %	1995	48,0
Administración Pública: %	1994	52,4
Administración Pública: %	1993	51,6
Administración Pública: %	1992	50,2
Administración Pública: %	1991	45,7
Administración Pública: %	1990	45,0
Administración Pública: %	1989	46,7
Administración Pública: %	1987	50,6
Administración Pública: %	1986	48,2
Administración Pública: %	1985	47,7
Administración Pública: %	1984	50,4
Administración Pública: %	1983	52,8
Administración Pública: %	1982	52,8
Administración Pública: %	1981	56,0
Empresas: Total (miles de euros)	2009	6.322.578
Empresas: Total (miles de euros)	2008	6.608.550
Empresas: Total (miles de euros)	2006	5.561.629
Empresas: Total (miles de euros)	2005	4.720.095
Empresas: Total (miles de euros)	2004	4.297.624
Empresas: Total (miles de euros)	2003	3.971.421
Empresas: Total (miles de euros)	2002	3.514.968
Empresas: Total (miles de euros)	2001	3.161.227
Empresas: Total (miles de euros)	2000	2.843.887
Empresas: Total (miles de euros)	1999	2.440.494
Empresas: Total (miles de euros)	1998	2.348.268
Empresas: Total (miles de euros)	1996	1.751.890
Empresas: Total (miles de euros)	1995	1.580.818
Empresas: Total (miles de euros)	1994	1.327.035
Empresas: Total (miles de euros)	1993	1.374.491
Empresas: Total (miles de euros)	1992	1.417.733
Empresas: Total (miles de euros)	1991	1.386.054
Empresas: Total (miles de euros)	1990	1.213.311
Empresas: Total (miles de euros)	1989	974.150
Empresas: Total (miles de euros)	1988	821.674
Empresas: Total (miles de euros)	1986	585.199
Total (miles de euros)	2000	5.718.988
Total (miles de euros)	1990	2.559.284
Administración Pública: Total (miles de euros)	2009	7.371.889
Administración Pública: Total (miles de euros)	1999	2.234.719
Administración Pública: Total (miles de euros)	1989	952.003
Administración Pública: %	2008	48,8
Administración Pública: %	1998	42,7
Administración Pública: %	1988	48,8
Empresas: Total (miles de euros)	2007	6.065.035
Empresas: Total (miles de euros)	1997	1.805.663
Empresas: Total (miles de euros)	1987	648.895
Empresas: %	2006	47,1
Empresas: %	1996	45,5
Empresas: %	1986	49,3
IPSFL: Total (miles de euros)	2005	87.228
IPSFL: Total (miles de euros)	1995	28.055
IPSFL: Total (miles de euros)	1985	2.092
IPSFL: %	2004	0,7
IPSFL: %	1994	1,0
IPSFL: %	1984	0,0
Extranjero: Total (miles de euros)	2003	470.778
Extranjero: Total (miles de euros)	1993	214.525
Extranjero: Total (miles de euros)	1983	7.416
Extranjero: %	2002	6,8
Extranjero: %	1992	5,5
Extranjero: %	1982	1,3
