Tipo de investigación	Periodo	Total
Total (miles de euros)	1988	1.357.740
Total (miles de euros)	1987	1.079.508
Total (miles de euros)	1986	935.620
Total (miles de euros)	1985	759.980
Total (miles de euros)	1984	633.371
Total (miles de euros)	1983	542.636
Total (miles de euros)	1981	392.491
Investigación básica: Total (miles de euros)	2010	2.834.310
Investigación básica: Total (miles de euros)	2009	2.814.511
Investigación básica: Total (miles de euros)	2008	2.508.078
Investigación básica: Total (miles de euros)	2007	2.186.658
Investigación básica: Total (miles de euros)	2006	1.838.630
Investigación básica: Total (miles de euros)	2005	1.794.766
Investigación básica: Total (miles de euros)	2004	1.675.264
Investigación básica: Total (miles de euros)	2003	1.605.253
Investigación básica: Total (miles de euros)	2001(*)	1.003.093
Investigación básica: Total (miles de euros)	2001	997.413
Investigación básica: Total (miles de euros)	2000	954.667
Investigación básica: Total (miles de euros)	1999	880.269
Investigación básica: Total (miles de euros)	1998	..
Investigación básica: Total (miles de euros)	1997	740.946
Investigación básica: Total (miles de euros)	1996	..
Investigación básica: Total (miles de euros)	1995	738.337
Investigación básica: Total (miles de euros)	1994	..
Investigación básica: Total (miles de euros)	1992	520.963
Investigación básica: Total (miles de euros)	1991	432.542
Investigación básica: Total (miles de euros)	1990	370.957
Investigación básica: Total (miles de euros)	1989	301.065
Investigación básica: Total (miles de euros)	1988	243.795
Investigación básica: Total (miles de euros)	1987	196.002
Investigación básica: Total (miles de euros)	1986	192.246
Investigación básica: Total (miles de euros)	1985	162.099
Investigación básica: Total (miles de euros)	1984	144.315
Investigación básica: Total (miles de euros)	1982	103.813
Investigación básica: Total (miles de euros)	1981	83.463
Investigación básica: %	2010	22,3
Investigación básica: %	2009	22,3
Investigación básica: %	2008	20,9
Investigación básica: %	2007	20,2
Investigación básica: %	2006	19,1
Investigación básica: %	2005	21,4
Investigación básica: %	2004	22,7
Investigación básica: %	2002	18,5
Investigación básica: %	2001(*)	19,7
Investigación básica: %	2001	20,2
Investigación básica: %	2000	20,5
Investigación básica: %	1999	22,0
Investigación básica: %	1998	..
Investigación básica: %	1997	22,8
Investigación básica: %	1996	..
Investigación básica: %	1995	25,3
Investigación básica: %	1993	21,5
Investigación básica: %	1992	20,0
Investigación básica: %	1991	18,4
Investigación básica: %	1990	18,0
Investigación básica: %	1989	18,8
Investigación básica: %	1988	18,0
Investigación básica: %	1987	18,2
Investigación básica: %	1986	20,6
Investigación básica: %	1985	21,3
Investigación básica: %	1983	22,4
Investigación básica: %	1982	21,5
Investigación básica: %	1981	21,3
Investigación aplicada: Total (miles de euros)	2010	5.409.877
Investigación aplicada: Total (miles de euros)	2009	5.228.623
Investigación aplicada: Total (miles de euros)	2008	5.196.233
Investigación aplicada: Total (miles de euros)	2007	4.727.182
Investigación aplicada: Total (miles de euros)	2006	4.152.421
Investigación aplicada: Total (miles de euros)	2005	3.470.510
Investigación aplicada: Total (miles de euros)	2003	2.703.218
Investigación aplicada: Total (miles de euros)	2002	2.348.319
Investigación aplicada: Total (miles de euros)	2001(*)	1.978.128
Investigación aplicada: Total (miles de euros)	2001	1.910.373
Investigación aplicada: Total (miles de euros)	2000	1.709.564
Investigación aplicada: Total (miles de euros)	1999	1.475.667
Investigación aplicada: Total (miles de euros)	1998	..
Investigación aplicada: Total (miles de euros)	1997	1.260.881
Investigación aplicada: Total (miles de euros)	1996	..
Investigación aplicada: Total (miles de euros)	1994	..
Total (miles de euros)	2001(*)	5.103.540
Total (miles de euros)	1992	2.598.957
Total (miles de euros)	1982	483.677
Investigación básica: Total (miles de euros)	2002	1.103.804
Investigación básica: Total (miles de euros)	1993	586.173
Investigación básica: Total (miles de euros)	1983	121.813
Investigación básica: %	2003	24,0
Investigación básica: %	1994	..
Investigación básica: %	1984	22,8
Investigación aplicada: Total (miles de euros)	2004	2.900.030
Investigación aplicada: Total (miles de euros)	1995	1.078.919
Investigación aplicada: Total (miles de euros)	1985	290.319
Investigación aplicada: %	2005	41,3
Investigación aplicada: %	1996	..
Investigación aplicada: %	1986	41,2
Desarrollo tecnológico: Total (miles de euros)	2006	3.614.096
Desarrollo tecnológico: Total (miles de euros)	1997	1.247.016
Desarrollo tecnológico: Total (miles de euros)	1987	425.282
Desarrollo tecnológico: %	2007	36,3
Desarrollo tecnológico: %	1998	..
Desarrollo tecnológico: %	1988	40,6
