Sectores/unidad	Periodo	Total
Total (equivalencia a jornada completa)	1981	19.268
Administración Pública: Total (equivalencia a jornada completa)	2007	21.412
Administración Pública: Total (equivalencia a jornada completa)	2006	20.063
Administración Pública: Total (equivalencia a jornada completa)	2005	20.446
Administración Pública: Total (equivalencia a jornada completa)	2004	17.151
Administración Pública: Total (equivalencia a jornada completa)	2003	15.489
Administración Pública: Total (equivalencia a jornada completa)	2002	12.625
Administración Pública: Total (equivalencia a jornada completa)	2001(*)	13.355
Administración Pública: Total (equivalencia a jornada completa)	2001	13.345
Administración Pública: Total (equivalencia a jornada completa)	2000	12.708
Administración Pública: Total (equivalencia a jornada completa)	1998	11.021
Administración Pública: Total (equivalencia a jornada completa)	1997	10.490
Administración Pública: Total (equivalencia a jornada completa)	1996	9.126
Administración Pública: Total (equivalencia a jornada completa)	1995	8.359
Administración Pública: Total (equivalencia a jornada completa)	1994	7.820
Administración Pública: Total (equivalencia a jornada completa)	1993	7.737
Administración Pública: Total (equivalencia a jornada completa)	1992	7.660
Administración Pública: Total (equivalencia a jornada completa)	1991	8.079
Administración Pública: Total (equivalencia a jornada completa)	1990	7.623
Administración Pública: Total (equivalencia a jornada completa)	1988	5.706
Administración Pública: Total (equivalencia a jornada completa)	1987	4.528
Administración Pública: Total (equivalencia a jornada completa)	1986	4.060
Administración Pública: Total (equivalencia a jornada completa)	1985	2.839
Administración Pública: Total (equivalencia a jornada completa)	1984	2.917
Administración Pública: Total (equivalencia a jornada completa)	1983	2.872
Administración Pública: Total (equivalencia a jornada completa)	1982	3.351
Administración Pública: Total (equivalencia a jornada completa)	1981	3.632
Administración Pública: %	2008	17
Administración Pública: %	2006	17
Administración Pública: %	2005	19
Administración Pública: %	2004	17
Administración Pública: %	2003	17
Administración Pública: %	2002	15
Administración Pública: %	2001(*)	16
Administración Pública: %	2001	17
Administración Pública: %	2000	17
Administración Pública: %	1999	19
Administración Pública: %	1997	20
Administración Pública: %	1996	18
Administración Pública: %	1995	18
Administración Pública: %	1994	16
Administración Pública: %	1993	18
Administración Pública: %	1992	18
Administración Pública: %	1991	20
Administración Pública: %	1990	20
Administración Pública: %	1989	18
Administración Pública: %	1987	17
Administración Pública: %	1986	17
Administración Pública: %	1985	13
Administración Pública: %	1984	14
Administración Pública: %	1983	15
Administración Pública: %	1982	18
Administración Pública: %	1981	19
Enseñanza superior: Total (equivalencia a jornada completa)	2008	61.736
Enseñanza superior: Total (equivalencia a jornada completa)	2007	58.813
Enseñanza superior: Total (equivalencia a jornada completa)	2005	54.028
Enseñanza superior: Total (equivalencia a jornada completa)	2004	51.616
Enseñanza superior: Total (equivalencia a jornada completa)	2003	49.196
Enseñanza superior: Total (equivalencia a jornada completa)	2002	45.727
Enseñanza superior: Total (equivalencia a jornada completa)	2001(*)	46.964
Enseñanza superior: Total (equivalencia a jornada completa)	2001	46.964
Enseñanza superior: Total (equivalencia a jornada completa)	2000	42.064
Enseñanza superior: Total (equivalencia a jornada completa)	1999	33.840
Enseñanza superior: Total (equivalencia a jornada completa)	1998	34.524
Enseñanza superior: Total (equivalencia a jornada completa)	1996	30.858
Enseñanza superior: Total (equivalencia a jornada completa)	1995	27.666
Enseñanza superior: Total (equivalencia a jornada completa)	1994	28.591
Enseñanza superior: Total (equivalencia a jornada completa)	1993	24.006
Enseñanza superior: Total (equivalencia a jornada completa)	1992	22.167
Enseñanza superior: Total (equivalencia a jornada completa)	1991	20.775
Enseñanza superior: Total (equivalencia a jornada completa)	1990	18.904
Enseñanza superior: Total (equivalencia a jornada completa)	1989	17.554
Enseñanza superior: Total (equivalencia a jornada completa)	1988	16.912
Enseñanza superior: Total (equivalencia a jornada completa)	1986	14.305
Total (equivalencia a jornada completa)	2000	76.670
Total (equivalencia a jornada completa)	1990	37.676
Administración Pública: Total (equivalencia a jornada completa)	2008	22.578
Administración Pública: Total (equivalencia a jornada completa)	1999	11.935
Administración Pública: Total (equivalencia a jornada completa)	1989	5.864
Administración Pública: %	2007	18
Administración Pública: %	1998	18
Administración Pública: %	1988	18
Enseñanza superior: Total (equivalencia a jornada completa)	2006	55.443
Enseñanza superior: Total (equivalencia a jornada completa)	1997	30.649
Enseñanza superior: Total (equivalencia a jornada completa)	1987	15.100
Enseñanza superior: %	2005	49
Enseñanza superior: %	1996	60
Enseñanza superior: %	1986	58
Empresas: Total (equivalencia a jornada completa)	2004	32.054
Empresas: Total (equivalencia a jornada completa)	1995	10.803
Empresas: Total (equivalencia a jornada completa)	1985	4.853
Empresas: %	2003	30
Empresas: %	1994	23
Empresas: %	1984	20
IPSFL: Total (equivalencia a jornada completa)	2002	334
IPSFL: Total (equivalencia a jornada completa)	1993	368
IPSFL: Total (equivalencia a jornada completa)	1983	..
IPSFL: %	2001(*)	1
IPSFL: %	1992	1
IPSFL: %	1982	..
