Tipo de indicador;Periodo;Total
Total: Otro personal por investigador;2005;0,59
Total: Otro personal por investigador;2004;0,60
Total: Otro personal por investigador;2003;0,64
Total: Otro personal por investigador;2002;0,61
Total: Otro personal por investigador;2001(*);0,60
Total: Otro personal por investigador;2001;0,57
Total: Otro personal por investigador;2000;0,57
Total: Otro personal por investigador;1998;0,61
Total: Otro personal por investigador;1997;0,62
Total: Otro personal por investigador;1996;0,69
Total: Otro personal por investigador;1995;0,69
Total: Otro personal por investigador;1994;0,68
Total: Otro personal por investigador;1993;0,73
Total: Otro personal por investigador;1992;0,76
Total: Otro personal por investigador;1991;0,78
Total: Otro personal por investigador;1990;0,85
Total: Otro personal por investigador;1988;0,76
Total: Otro personal por investigador;1987;0,83
Total: Otro personal por investigador;1986;0,85
Total: Otro personal por investigador;1985;0,91
Total: Otro personal por investigador;1984;0,92
Total: Otro personal por investigador;1983;0,86
Total: Otro personal por investigador;1982;0,89
Total: Otro personal por investigador;1981;0,88
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;2008;118,36
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;2006;98,23
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;2005;85,01
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;2004;83,23
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;2003;81,46
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;2002;87,75
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;2001(*);74,08
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;2001;74,11
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;2000;71,20
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;1999;70,66
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;1997;66,88
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;1996;77,24
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;1995;79,09
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;1994;87,19
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;1993;86,61
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;1992;84,77
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;1991;75,84
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;1990;71,39
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;1989;79,06
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;1987;77,23
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;1986;72,86
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;1985;86,26
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;1984;67,49
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;1983;64,35
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;1982;49,53
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;1981;38,03
Admin. Pública: Otro personal por investigador (equivalencia a jornada completa);2008;0,82
Admin. Pública: Otro personal por investigador (equivalencia a jornada completa);2007;0,77
Admin. Pública: Otro personal por investigador (equivalencia a jornada completa);2005;0,57
Admin. Pública: Otro personal por investigador (equivalencia a jornada completa);2004;0,58
Admin. Pública: Otro personal por investigador (equivalencia a jornada completa);2003;0,66
Admin. Pública: Otro personal por investigador (equivalencia a jornada completa);2002;0,84
Admin. Pública: Otro personal por investigador (equivalencia a jornada completa);2001(*);0,76
Admin. Pública: Otro personal por investigador (equivalencia a jornada completa);2001;0,76
Admin. Pública: Otro personal por investigador (equivalencia a jornada completa);2000;0,76
Admin. Pública: Otro personal por investigador (equivalencia a jornada completa);1999;0,87
Admin. Pública: Otro personal por investigador (equivalencia a jornada completa);1998;0,83
Admin. Pública: Otro personal por investigador (equivalencia a jornada completa);1996;0,96
Admin. Pública: Otro personal por investigador (equivalencia a jornada completa);1995;1,05
Admin. Pública: Otro personal por investigador (equivalencia a jornada completa);1994;1,24
Admin. Pública: Otro personal por investigador (equivalencia a jornada completa);1993;1,23
Admin. Pública: Otro personal por investigador (equivalencia a jornada completa);1992;1,18
