Tipo de indicador;Period;Total
Total personal:Número de personas;1984;61,074
Total personal:Número de personas;1983;57,321
Total personal:Número de personas;1982;56,472
Total personal:Número de personas;1981;55,297
Total personal:Personas en EJC;2007;201,108
Total personal:Personas en EJC;2006;188,978
Total personal:Personas en EJC;2005;174,773
Total personal:Personas en EJC;2004;161,933
Total personal:Personas en EJC;2003;151,487
Total personal:Personas en EJC;2002;134,258
Total personal:Personas en EJC;2001(*);130,353
Total personal:Personas en EJC;2001;125,750
Total personal:Personas en EJC;2000;120,618
Total personal:Personas en EJC;1998;97,098
Total personal:Personas en EJC;1997;87,150
Total personal:Personas en EJC;1996;87,264
Total personal:Personas en EJC;1995;79,987
Total personal:Personas en EJC;1994;80,399
Total personal:Personas en EJC;1993;75,734
Total personal:Personas en EJC;1992;73,320
Total personal:Personas en EJC;1991;72,406
Total personal:Personas en EJC;1990;69,684
Total personal:Personas en EJC;1988;54,807
Total personal:Personas en EJC;1987;48,486
Total personal:Personas en EJC;1986;45,261
Total personal:Personas en EJC;1985;40,654
Total personal:Personas en EJC;1984;39,287
Total personal:Personas en EJC;1983;36,171
Total personal:Personas en EJC;1982;35,531
Total personal:Personas en EJC;1981;36,221
Total personal:Personas en EJC (tasa de crecimiento anual);2008;1.07
Total personal:Personas en EJC (tasa de crecimiento anual);2006;1.08
Total personal:Personas en EJC (tasa de crecimiento anual);2005;1.08
Total personal:Personas en EJC (tasa de crecimiento anual);2004;1.07
Total personal:Personas en EJC (tasa de crecimiento anual);2003;1.13
Total personal:Personas en EJC (tasa de crecimiento anual);2002;1.03
Total personal:Personas en EJC (tasa de crecimiento anual);2001(*);.
Total personal:Personas en EJC (tasa de crecimiento anual);2001;1.04
Total personal:Personas en EJC (tasa de crecimiento anual);2000;1.18
Total personal:Personas en EJC (tasa de crecimiento anual);1999;1.05
Total personal:Personas en EJC (tasa de crecimiento anual);1997;1.00
Total personal:Personas en EJC (tasa de crecimiento anual);1996;1.09
Total personal:Personas en EJC (tasa de crecimiento anual);1995;0.99
Total personal:Personas en EJC (tasa de crecimiento anual);1994;1.06
Total personal:Personas en EJC (tasa de crecimiento anual);1993;1.03
Total personal:Personas en EJC (tasa de crecimiento anual);1992;1.01
Total personal:Personas en EJC (tasa de crecimiento anual);1991;1.04
Total personal:Personas en EJC (tasa de crecimiento anual);1990;1.10
Total personal:Personas en EJC (tasa de crecimiento anual);1989;1.15
Total personal:Personas en EJC (tasa de crecimiento anual);1987;1.07
Total personal:Personas en EJC (tasa de crecimiento anual);1986;1.11
Total personal:Personas en EJC (tasa de crecimiento anual);1985;1.03
Total personal:Personas en EJC (tasa de crecimiento anual);1984;1.09
Total personal:Personas en EJC (tasa de crecimiento anual);1983;1.02
Total personal:Personas en EJC (tasa de crecimiento anual);1982;0.98
Total personal:Personas en EJC (tasa de crecimiento anual);1981;1.02
Total personal:Personas en EJC (tanto por mil respecto población ocupada);2008;10.6
Total personal:Personas en EJC (tanto por mil respecto población ocupada);2007;9.9
Total personal:Personas en EJC (tanto por mil respecto población ocupada);2005;9.2
Total personal:Personas en EJC (tanto por mil respecto población ocupada);2004;9.0
Total personal:Personas en EJC (tanto por mil respecto población ocupada);2003;8.8
Total personal:Personas en EJC (tanto por mil respecto población ocupada);2002;7.7
Total personal:Personas en EJC (tanto por mil respecto población ocupada);2001(*);7.2
Total personal:Personas en EJC (tanto por mil respecto población ocupada);2001;6.9
Total personal:Personas en EJC (tanto por mil respecto población ocupada);2000;6.8
Total personal:Personas en EJC (tanto por mil respecto población ocupada);1999;5.9
Total personal:Personas en EJC (tanto por mil respecto población ocupada);1998;5.7
Total personal:Personas en EJC (tanto por mil respecto población ocupada);1996;5.3
Total personal:Personas en EJC (tanto por mil respecto población ocupada);1995;4.9
Total personal:Personas en EJC (tanto por mil respecto población ocupada);1994;5.0
Total personal:Personas en EJC (tanto por mil respecto población ocupada);1993;4.8
Total personal:Personas en EJC (tanto por mil respecto población ocupada);1992;4.7
Total personal:Personas en EJC (tanto por mil respecto población ocupada);1991;4.6
Total personal:Personas en EJC (tanto por mil respecto población ocupada);1990;4.5
Total personal:Personas en EJC (tanto por mil respecto población ocupada);1989;4.1
Total personal:Personas en EJC (tanto por mil respecto población ocupada);1988;3.6
Total personal:Personas en EJC (tanto por mil respecto población ocupada);1986;3.2
Total personal:Número de personas;2000;..
Total personal:Número de personas;1990;101,546
Total personal:Personas en EJC;2008;215,676
Total personal:Personas en EJC;1999;102,238
Total personal:Personas en EJC;1989;63,155
Total personal:Personas en EJC (tasa de crecimiento anual);2007;1.06
Total personal:Personas en EJC (tasa de crecimiento anual);1998;1.11
Total personal:Personas en EJC (tasa de crecimiento anual);1988;1.13
Total personal:Personas en EJC (tanto por mil respecto población ocupada);2006;9.6
Total personal:Personas en EJC (tanto por mil respecto población ocupada);1997;5.2
Total personal:Personas en EJC (tanto por mil respecto población ocupada);1987;3.3
Investigadores:Número de personas;2005;181,023
Investigadores:Número de personas;1996;..
Investigadores:Número de personas;1986;45,255
Investigadores:Investigadores en EJC;2004;100,994
Investigadores:Investigadores en EJC;1995;47,342
Investigadores:Investigadores en EJC;1985;21,455
Investigadores:Investigadores en EJC (tasa de crecimiento anual);2003;1.11
Investigadores:Investigadores en EJC (tasa de crecimiento anual);1994;1.10
