Sectores;Period;Total
Empresas: unidades investigadas;2010;49,212
Empresas: unidades investigadas;2009;49,280
Empresas: unidades investigadas;2008;55,742
Empresas: unidades investigadas;2007;53,360
Empresas: unidades investigadas;2006;46,922
Empresas: unidades investigadas;2005;42,480
Empresas: unidades investigadas;2004;24,964
Empresas: unidades investigadas;2003;24,234
Empresas: unidades investigadas;2002;26,016
Empresas: empresas que realizan I+D;2010;9,947
Empresas: empresas que realizan I+D;2009;9,851
Empresas: empresas que realizan I+D;2008;10,197
Empresas: empresas que realizan I+D;2007;9,662
Empresas: empresas que realizan I+D;2006;8,479
Empresas: empresas que realizan I+D;2005;7,419
Empresas: empresas que realizan I+D;2004;5,599
Empresas: empresas que realizan I+D;2003;4,839
Empresas: empresas que realizan I+D;2002;4,707
Administración Pública: unidades investigadas;2010;1,058
Administración Pública: unidades investigadas;2009;946
Administración Pública: unidades investigadas;2008;930
Administración Pública: unidades investigadas;2007;905
Administración Pública: unidades investigadas;2006;619
Administración Pública: unidades investigadas;2005;650
Administración Pública: unidades investigadas;2004;499
Administración Pública: unidades investigadas;2003;657
Administración Pública: unidades investigadas;2002;316
Administración Pública: centros que realizan I+D;2010;576
Administración Pública: centros que realizan I+D;2009;542
Administración Pública: centros que realizan I+D;2008;519
Administración Pública: centros que realizan I+D;2007;428
Administración Pública: centros que realizan I+D;2006;401
Administración Pública: centros que realizan I+D;2005;357
Administración Pública: centros que realizan I+D;2004;315
Administración Pública: centros que realizan I+D;2003;273
Administración Pública: centros que realizan I+D;2002;239
Enseñanza Superior: unidades investigadas;2010;215
Enseñanza Superior: unidades investigadas;2009;179
Enseñanza Superior: unidades investigadas;2008;181
Enseñanza Superior: unidades investigadas;2007;161
Enseñanza Superior: unidades investigadas;2006;145
Enseñanza Superior: unidades investigadas;2005;143
Enseñanza Superior: unidades investigadas;2004;113
Enseñanza Superior: unidades investigadas;2003;102
Enseñanza Superior: unidades investigadas;2002;83
Enseñanza Superior: centros que realizan I+D;2010;154
Enseñanza Superior: centros que realizan I+D;2009;143
Enseñanza Superior: centros que realizan I+D;2008;137
Enseñanza Superior: centros que realizan I+D;2007;131
Enseñanza Superior: centros que realizan I+D;2006;122
Enseñanza Superior: centros que realizan I+D;2005;115
Enseñanza Superior: centros que realizan I+D;2004;104
Enseñanza Superior: centros que realizan I+D;2003;92
Enseñanza Superior: centros que realizan I+D;2002;83
IPSFL: unidades investigadas;2010;438
IPSFL: unidades investigadas;2009;242
IPSFL: unidades investigadas;2008;253
IPSFL: unidades investigadas;2007;251
IPSFL: unidades investigadas;2006;140
IPSFL: unidades investigadas;2005;123
IPSFL: unidades investigadas;2004;98
IPSFL: unidades investigadas;2003;194
IPSFL: unidades investigadas;2002;184
IPSFL: centros que realizan I+D;2010;90
IPSFL: centros que realizan I+D;2009;86
IPSFL: centros que realizan I+D;2008;65
IPSFL: centros que realizan I+D;2007;65
IPSFL: centros que realizan I+D;2006;52
IPSFL: centros que realizan I+D;2005;52
IPSFL: centros que realizan I+D;2004;49
IPSFL: centros que realizan I+D;2003;44
IPSFL: centros que realizan I+D;2002;37
Empresas: unidades investigadas;2001;11,709
Empresas: empresas que realizan I+D;2001;4,240
Administración Pública: unidades investigadas;2001;281
Administración Pública: centros que realizan I+D;2001;193
Enseñanza Superior: unidades investigadas;2001;66
Enseñanza Superior: centros que realizan I+D;2001;66
IPSFL: unidades investigadas;2001;158
IPSFL: centros que realizan I+D;2001;71
