MODELO,CC
"PIAGGIO FLY 125","124"
"B.M.W. K 1","987"
"SUZUKI UH150 EU1","152"
"SANGLAS 400","391"
"SUZUKI AH100 ADDRESS","99"
"B.M.W. K 75","740"
"SUZUKI 500","486"
"PEUGEOT","124"
"KYMCO YAGER GT 125","124"
"VESPA 125 FL ELESTART","121"
"SUZUKI UH125","125"
"DAELIM SQ250","249"
"PIAGGIO CALIFORNIA 1400","1.380"
"YAMAHA YP125R","125"
"KYMCO K-XCT 125","124"
"HYOSUNG COMET 650R","647"
"SUZUKI UH125","125"
"SUZUKI UH150","152"
"VESPA PK 75S","74"
"DAELIM BESBI","124"
"DAELIM VL125","124"
"PIAGGIO VESPA LX 125 3V","124"
"YAMAHA FJR1300A","1.298"
"APRILIA ARRECIFE 125","124"
"HONDA VT600C SHADOW","583"
"YAMAHA YP250R","249"
"YAMAHA XP500A","499"
"SUZUKI UH125","125"
"YAMAHA YP250R","249"
"SUZUKI  UX125","124"
"SUZUKI UH125","125"
"SUZUKI GSX650F","656"
"SUZUKI GSR600","599"
"HONDA NSS250S","249"
"PEUGEOT SAT125K20","125"
"PIAGGIO VESPA LXV125 I.E.","124"
"DAELIM SL125U","124"
"KYMCO AGILITY 125","125"
"HONDA CBR600RR","599"
"SANGLAS 400","422"
"HONDA CBR500RA","471"
"YAMAHA RD 350","347"
"KEEWAY ARN 125","124"
"HONDA CBF600NA","599"
"KAWASAKI ZX-600 D","599"
"KAWASAKI Z750","748"
"B.M.W. K-1100-LT","1.093"
"SUZUKI UH125G","125"
"HONDA NS 1","74"
"VESPA IRIS","200"
"BMW K1200S","1.157"
"VESPA 75 JUNIOR","75"
"SUZUKI UH125","125"
"KYMCO SUPER DINK 125","124"
"SUZUKI UH125","125"
"HONDA 24","748"
"PIAGGIO VESPA LX 125","124"
"KAWASAKI Z750","748"
"PIAGGIO LYBERTY 125 4T","124"
"SUZUKI UH125A","125"
"APRILIA PEGASO","651"
"PIAGGIO X9 125 EVOLUT","124"
"SUZUKI DL650","645"
"PIAGGIO VESPA LX 125","124"
"MONTESA CUOTA 315","250"
"SUZUKI SV650S","645"
"YAMAHA YP125R","124"
"PEUGEOT SV 125","124"
"APRILIA ARRECIFE 250","237"
"SUZUKI DL650A","645"
"HONDA NSR","124"
"BENELLI 654","600"
"SUZUKI AN400Z","400"
"SUZUKI GSX650F","656"
"KYMCO AGILITY 125","125"
"SUZUKI AN400","385"
"SUZUKI DL650","645"
"YAMAHA 21L SR 250","239"
"BMW R.45","500"
"VESPA PK 75 XL","74"
"SUZUKI GSX R600","599"
"SUZUKI GSX R600","599"
"PIAGGIO X9 250 EVOLUT","244"
"YAMAHA MAJESTY S","125"
"HONDA CS 125","125"
"HONDA CBF600S","599"
"APRILIA AF.1","124"
"SUZUKI GSF650S","656"
"SUZUKI UH125","125"
"HONDA NC700XA","670"
"YAMAHA XV535","535"
"SUZUKI BANDIT","398"
"KYMCO YAGER GT 125","124"
"KYMCO AGILITY CITY 12","125"
"YAMAHA YP125R","124"
"B.M.W.","999"
"VESPA PK 75 XL","75"
"VESPA","200"
"SUZUKI AH100 ADDRESS","99"
"VESPA 75 FL","75"
