MODELO,CABALLOS_FISCALES
"VOLKSWAGEN POLO 1.6","11,56"
"SEAT ALTEA 1.6","11,63"
"BMW X3 XDRIVE20D","13,29"
"VOLKSWAGEN PASSAT","13,19"
"OPEL VIVARO","15,08"
"HYUNDAI I 30","7,82"
"RENAULT CLIO","7,34"
"KIA RIO","10,04"
"RENAULT CLIO","7,34"
"MAZDA MX-5","11,64"
"BMW 316D","13,29"
"MERCEDES-BENZ N 1300","13,26"
"PEUGEOT 308 5P ALLURE 1","8,73"
"NISSAN X-TRAIL","14,03"
"ALFA ROMEO ALFA ROMEO 159","12,95"
"SEAT LEON","12,9"
"PEUGEOT 3008 ALLURE 1.6","11,47"
"SEAT IBIZA","9,78"
"FORD FIESTA","10"
"NISSAN NISSAN NOTE","8,72"
"AUDI 80 1.9 TD","12"
"AUDI AUDI A4 1.8 5V.","12,42"
"CITROEN C5","13,3"
"TOYOTA TOYOTA COROLLA","13,3"
"FORD FIESTA","7,81"
"OPEL Z     -A","13,29"
"MERCEDES-BENZ C 220 BLUETEC","13,88"
"RENAULT R. MEGANE","10,7"
"RENAULT SCENIC","9,78"
"CITROEN XSARA 16I16V SX","11,59"
"CHEVROLET AVEO 1.4","10,75"
"PEUGEOT RIFTER GT BLUEH","11,19"
"VOLKSWAGEN T-ROC","7,82"
"VOLKSWAGEN GOLF","12,89"
"BMW 318 I","12,48"
"CITROEN NUEVO C3 PURETE","8,73"
"SEAT LEON SPORTSTOUR","11,19"
"DACIA DUSTER","11,02"
"HYUNDAI KONA, KAUAI","11,56"
"NISSAN NISSAN MICRA","7,82"
"SUZUKI SWIFT","10,42"
"TOYOTA TOYOTA COROLLA","12,49"
"NISSAN NISSAN QASHQAI","10,43"
"SUZUKI SWIFT","9,78"
"HYUNDAI TUCSON","11,64"
"HONDA CR-V 2.2 I-CTDI","14,12"
"SUZUKI SWIFT 1.3 3P GL","10,42"
"VOLKSWAGEN GOLF","11,19"
"SEAT IBIZA","11,64"
"MERCEDES-BENZ 300 TD","19,63"
"MERCEDES-BENZ 216 316CDI","17,37"
"DACIA LOGAN","11,02"
"AUDI A6 LIMOUSINE","13,19"
"CITROEN BERLINGO TALLA","8,73"
"RENAULT CAPTUR","7,82"
"KIA PICANTO","9,06"
"AUDI AUDI A6 2.5 TDI","16,48"
"SEAT IBIZA 1.9","12,89"
"SUZUKI VITARA","11,61"
"RENAULT ZOE","9,89"
"RENAULT MEGANE SCENIC 1","11,02"
"RENAULT CLIO","9,54"
"CITROEN GC4PVTI120FIRST","11,64"
"VOLKSWAGEN TOURAN","11,64"
"MITSUBISHI MITSUBISHI ASX","12,49"
"RENAULT CAPTUR","10,44"
"RENAULT ESPACE","19,8"
"BMW 320 CD COUPE","13,3"
"FORD FOCUS","11,63"
"AUDI AUDI A4 8D","12,89"
"VOLKSWAGEN PASSAT","13,19"
"HONDA HONDA CR V","14,1"
"VOLVO XC40","9,89"
"OPEL ASTRA","12,01"
"FORD TRANSIT","14,86"
"KIA STONIC","9,79"
"MERCEDES-BENZ GLE 300 D 4MATI","13,12"
"FORD FOCUS","12,3"
"PORSCHE CAYENNE TURBO","29,74"
"HONDA CIVIC 22I CTDI","14,12"
"KIA NIRO","11,56"
"FORD FOCUS","11,63"
"FORD FIESTA","10,74"
"SMART SMART","7,83"
"VOLKSWAGEN POLO","8,78"
"OPEL ASTRA 2 0","13,3"
"FIAT 500","10"
"MITSUBISHI MONTERO PAJERO","15,12"
"BMW X6 XDRIVE30D","19,94"
"SEAT IBIZA 1.4","9,67"
"OPEL ASTRA 2.0","13,29"
"SEAT LEON SPORTOURER","11,19"
"HYUNDAI TUCSON","11,64"
"AUDI Q3","13,19"
"CITROEN XSARA PICASSO","13,3"
"CITROEN C3 AIRCROSS PUR","8,73"
"TOYOTA TOYOTA PRIUS PL","12,49"
"AUDI A4 2.0","13,25"
"CHEVROLET KALOS","10,74"
"VOLVO S80","16,25"
