MODELO,KG_CARGA
"DAF AT-21-32","24.600"
"LECI#ENA CH 7501 AL N S","29.355"
"AGRIC FJ 40 1H 2H","4.100"
"FRUEHAUF EPBFA2","26.600"
"GUILLEN LONA CORREDERA","27.800"
"SAFECO SMF133SM2EM","4.310"
"LECIÑENA SRP-2E","24.700"
"SIN MARCA MEILLER KIPPER MHKS 41","26.490"
"SIN MARCA MEILLER KIPPER MHKS 41","26.500"
"TOMI TOMI AGRICOLA 6","4.495"
"SIN MARCA DESCONOCIDO","2.248"
"SIN MARCA DESCONOCIDO","2.700"
"J.B. DESCONOCIDO","3.350"
"LECIÑENA SRP 3 ED","28.100"
"LECI#ENA SRP 3E","22.940"
"RIOJA SR.V.13,75","4.000"
"MEILLER-KIPPER MHKS 41 3 S","27.090"
"FRUEHAUF CT XA3 35","28.600"
"ROMAY RA-30C","2.670"
"MONTULL SPA3S136SN","27.940"
"LAMBERET LAMBERET","24.660"
"LECIÑENA A 9000 CS M D","22.850"
"LECIÑENA CH-08401-AL-N-S","28.900"
"LECIÑENA CH 100002 AL N S","28.550"
"SPITZER EUROVRAC SK2460CAL","28.570"
"PARCISA CPB-3CA SILO BASCULANT","27.900"
"KRONE N A","29.520"
"SPITZER EUROVRA SF 2436 PFAL","29.970"
"FRUEHAUF","24.300"
"SAMRO SR 334","28.100"
"LACASTA AM 15","2.000"
"TRABOSA SRGT 30 2 BEG","30.000"
"MIROFRET TRS 3 1 F13","27.400"
"LECI#ENA SRP 3 ED","27.620"
"GUILLEN ---","30.975"
"SCHMITZ SCS 24L 13 62 C E B","28.680"
"GRANALU S3NA","29.675"
"TISVOL A-960170-EAL","27.880"
"LAMBERET SEMIFRIGO","27.500"
"SIN MARCA TURMDREHKRAN GRUA AUT","60"
"BASBEN BSB3B-4.5","35.000"
"FENDT SAPHIR 470 TFB","110"
"MONTENEGRO SHLF3S/3G","24.460"
"SIN MARCA DESCONOCIDO","1.050"
"LECITRAILER 3E20","24.855"
"FRUEHAUF T 34 C SEMIREMOLQUE 3","27.650"
"TAMON C 26","2.975"
"ACM VQ 24 85 SA3","29.600"
"LECI#ENA SRP-3E","28.500"
"LECIÑENA SRP 2E","25.330"
"IFOR WILLIAMS IFOR WILLIAMS","1.738"
"KNAUS SUDWIND 400FD","310"
"GRANALU GP105","28.825"
"LECITRAILER 3E20C","29.930"
"FITOSA ATOMIZA 2000","2.440"
"LECIÑENA CH 8902 AL N S","29.060"
"GRANALU S3NA","29.560"
"FRUEHAUF T 34 C","27.420"
"GRANALU G95I","33.010"
"MONTENEGRO SP-3S","25.360"
"SIN MARCA DESCONOCIDO","1.520"
"LECITRAILER LTP-BOB LSL-XL","28.095"
"ACM VQ","27.100"
"GUILLEN GSRE3-DA99","33.375"
"GRANALU S3NA","29.535"
"LECITRAILER LTP-BOB LSL-XL","27.735"
"KOGEL SN24","28.725"
"SCHMITZ CARGOBU SCS 24 L - 13.6","28.356"
"ACM MFP-92Ñ34 SA3","29.280"
"LECIÑENA CH-8400","29.080"
"ACM VQ 27 95 SA3","29.000"
"BERGER LTCN","29.515"
"KRONE ---","19.588"
"IBERTRAILER S3PE","30.125"
"FRUEHAUF SR PLATAFORMA 3","26.580"
"LECITRAILER 3E20","27.500"
"LECIÑENA CH 10400 AC N S","23.665"
"LECIÑENA SRV 3ED BASCULA","26.800"
"BENNES MARREL AMPLIROLL","24.300"
"ACM MFP-92Ñ34 SA3","29.280"
"BERGER LTCN","29.485"
"GUILLEN FURGON CARGA SE","28.600"
"LECITRAILER 3E20","27.775"
"MONTENEGRO SPX-3S 3G","27.900"
"GUILLEN GSRE3-DA99","33.375"
"LECITRAILER 3E20","30.600"
"SCHMITZ CARGOBU ND","31.215"
"ACM VQ 24 85 SA3","26.579"
"MONTENEGRO SPL 3S 3G","27.100"
"FENDT SAPHIR 470 TFB","310"
"S.M. SKO 24 L FP 60","26.424"
"SCHMITZ CARGOBU ND","31.215"
"LECITRAILER 3E20","28.080"
"ACM MCH-XA3RRR-96 3","29.242"
"LECITRAILER 3E20","29.335"
"LECITRAILER SR-3E","34.500"
"ALITE HP3-HIGH PERFOR","28.625"
"KOGEL SN24","27.865"
"ESVA EV TA 26 15 20","1.445"
"INDOX CRYO-ENERGY 3.0","30.950"
