CODIGO;TUNEL;EPOCA;TIPO_DIA;HORA;SECCION_ACCESO;INTENSIDAD;;;;;
TC0602;AZCA;GENERAL;FESTIVO;9;ENTRADA AGUSTIN BETANCOURT;53;;;;;
TC0602;AZCA;GENERAL;FESTIVO;19;ENTRADA AGUSTIN BETANCOURT;396;;;;;
TC0508;R.DOMINICANA;GENERAL;FESTIVO;5;ENTRADA ALBERTO ALCOCER;155;;;;;
TC0508;R.DOMINICANA;GENERAL;FESTIVO;15;ENTRADA ALBERTO ALCOCER;724;;;;;
TC0509;ALFONSO XIII;GENERAL;FESTIVO;1;ENTRADA ALFONSO XIII;72;;;;;
TC0509;ALFONSO XIII;GENERAL;FESTIVO;11;ENTRADA ALFONSO XIII;99;;;;;
TC0509;ALFONSO XIII;GENERAL;FESTIVO;21;ENTRADA ALFONSO XIII;211;;;;;
TC1201;C.PERALES;GENERAL;FESTIVO;7;ENTRADA ANTONIO LOPEZ;28;;;;;
TC1201;C.PERALES;GENERAL;FESTIVO;17;ENTRADA ANTONIO LOPEZ;88;;;;;
TC0815;4 TORRES;GENERAL;FESTIVO;3;ENTRADA ARZOBISPO MORCILLO;1;;;;;
TC0815;4 TORRES;GENERAL;FESTIVO;13;ENTRADA ARZOBISPO MORCILLO;18;;;;;
TC0815;4 TORRES;GENERAL;FESTIVO;23;ENTRADA ARZOBISPO MORCILLO;2;;;;;
TC0102;PZ MAYOR;GENERAL;FESTIVO;9;ENTRADA ATOCHA;309;;;;;
TC0102;PZ MAYOR;GENERAL;FESTIVO;19;ENTRADA ATOCHA;281;;;;;
TC0107;SAN VICENTE;GENERAL;FESTIVO;5;ENTRADA AV PORTUGAL;45;;;;;
TC0107;SAN VICENTE;GENERAL;FESTIVO;15;ENTRADA AV PORTUGAL;514;;;;;
TC0108;BAILEN;GENERAL;FESTIVO;1;ENTRADA BAILEN;687;;;;;
TC0108;BAILEN;GENERAL;FESTIVO;11;ENTRADA BAILEN;731;;;;;
TC0108;BAILEN;GENERAL;FESTIVO;21;ENTRADA BAILEN;442;;;;;
TC0602;AZCA;GENERAL;FESTIVO;7;ENTRADA BASILICA 313-314-315;5;;;;;
TC0602;AZCA;GENERAL;FESTIVO;17;ENTRADA BASILICA 313-314-315;88;;;;;
TC0306;COMERCIO;GENERAL;FESTIVO;3;ENTRADA C.BARCELONA;99;;;;;
TC0306;COMERCIO;GENERAL;FESTIVO;13;ENTRADA C.BARCELONA;397;;;;;
TC0306;COMERCIO;GENERAL;FESTIVO;23;ENTRADA C.BARCELONA;282;;;;;
TC1201;C.PERALES;GENERAL;FESTIVO;9;ENTRADA CAJA MAGICA;59;;;;;
TC1201;C.PERALES;GENERAL;FESTIVO;19;ENTRADA CAJA MAGICA;104;;;;;
TC0502;R.ARGENTINA;GENERAL;FESTIVO;5;ENTRADA CASTELLANA;166;;;;;
TC0502;R.ARGENTINA;GENERAL;FESTIVO;15;ENTRADA CASTELLANA;468;;;;;
TC0906;SINESIO;GENERAL;FESTIVO;1;ENTRADA CHORRILLO;226;;;;;
TC0906;SINESIO;GENERAL;FESTIVO;11;ENTRADA CHORRILLO;731;;;;;
TC0906;SINESIO;GENERAL;FESTIVO;21;ENTRADA CHORRILLO;486;;;;;
TC0906;SINESIO;GENERAL;FESTIVO;7;ENTRADA CIUDAD UNIVER;203;;;;;
TC0906;SINESIO;GENERAL;FESTIVO;17;ENTRADA CIUDAD UNIVER;805;;;;;
TC0509;ALFONSO XIII;GENERAL;FESTIVO;3;ENTRADA CORAZON MARIA;11;;;;;
TC0509;ALFONSO XIII;GENERAL;FESTIVO;13;ENTRADA CORAZON MARIA;85;;;;;
TC0509;ALFONSO XIII;GENERAL;FESTIVO;23;ENTRADA CORAZON MARIA;43;;;;;
TC0508;R.DOMINICANA;GENERAL;FESTIVO;9;ENTRADA COSTA RICA;224;;;;;
TC0508;R.DOMINICANA;GENERAL;FESTIVO;19;ENTRADA COSTA RICA;1228;;;;;
TC0511;JM SOLER;GENERAL;FESTIVO;5;SALIDA COSTA RICA C;124;;;;;
TC0511;JM SOLER;GENERAL;FESTIVO;15;SALIDA COSTA RICA C;548;;;;;
TC0107;SAN VICENTE;GENERAL;FESTIVO;1;ENTRADA CTA SAN VICENTE;258;;;;;
TC0107;SAN VICENTE;GENERAL;FESTIVO;11;ENTRADA CTA SAN VICENTE;934;;;;;
TC0107;SAN VICENTE;GENERAL;FESTIVO;21;ENTRADA CTA SAN VICENTE;902;;;;;
TC0505;PZ CASTILLA;GENERAL;FESTIVO;7;ENTRADA CUZCO;243;;;;;
TC0505;PZ CASTILLA;GENERAL;FESTIVO;17;ENTRADA CUZCO;1261;;;;;
TC0505;PZ CASTILLA;GENERAL;FESTIVO;3;ENTRADA HOSP.LA PAZ;192;;;;;
TC0505;PZ CASTILLA;GENERAL;FESTIVO;13;ENTRADA HOSP.LA PAZ;1539;;;;;
TC0505;PZ CASTILLA;GENERAL;FESTIVO;23;ENTRADA HOSP.LA PAZ;343;;;;;
TC0404;M.BECERRA;GENERAL;FESTIVO;9;ENTRADA D.ESQUERDO;869;;;;;
TC0404;M.BECERRA;GENERAL;FESTIVO;19;ENTRADA D.ESQUERDO;333;;;;;
TC0701;OLAVIDE;GENERAL;FESTIVO;5;ENTRADA ELOY GONZALO;91;;;;;
TC0701;OLAVIDE;GENERAL;FESTIVO;15;ENTRADA ELOY GONZALO;169;;;;;
TC0202;PLANETARIO;GENERAL;FESTIVO;1;ENTRADA EMBAJADORES;130;;;;;
TC0202;PLANETARIO;GENERAL;FESTIVO;11;ENTRADA EMBAJADORES;240;;;;;
TC0202;PLANETARIO;GENERAL;FESTIVO;21;ENTRADA EMBAJADORES;387;;;;;
TC0202;PLANETARIO;GENERAL;FESTIVO;7;ENTRADA EST.SUR BUS-MA;55;;;;;
TC0202;PLANETARIO;GENERAL;FESTIVO;17;ENTRADA EST.SUR BUS-MA;240;;;;;
TC0404;M.BECERRA;GENERAL;FESTIVO;3;ENTRADA FCO SILVELA;124;;;;;
TC0404;M.BECERRA;GENERAL;FESTIVO;13;ENTRADA FCO SILVELA;402;;;;;
TC0404;M.BECERRA;GENERAL;FESTIVO;23;ENTRADA FCO SILVELA;339;;;;;
TC0108;BAILEN;GENERAL;LABORABLE;9;ENTRADA BAILEN;724;;;;;
TC0108;BAILEN;GENERAL;LABORABLE;19;ENTRADA BAILEN;826;;;;;
TC0302;D.ESQUERDO;GENERAL;FESTIVO;5;ENTRADA GOYA;57;;;;;
TC0302;D.ESQUERDO;GENERAL;FESTIVO;15;ENTRADA GOYA;382;;;;;
TC1502;GV HORTALEZA;GENERAL;FESTIVO;1;ENTRADA GTA LUIS ROSALES;193;;;;;
TC1502;GV HORTALEZA;GENERAL;FESTIVO;11;ENTRADA GTA LUIS ROSALES;487;;;;;
TC1502;GV HORTALEZA;GENERAL;FESTIVO;21;ENTRADA GTA LUIS ROSALES;344;;;;;
TC0511;JM SOLER;GENERAL;FESTIVO;7;ENTRADA GV HORTALEZA;153;;;;;
TC0511;JM SOLER;GENERAL;FESTIVO;17;ENTRADA GV HORTALEZA;760;;;;;
TC0602;AZCA;GENERAL;FESTIVO;3;ENTRADA HNOS PINZON 24-25-27-28;23;;;;;
TC0602;AZCA;GENERAL;FESTIVO;13;ENTRADA HNOS PINZON 24-25-27-28;166;;;;;
TC0602;AZCA;GENERAL;FESTIVO;23;ENTRADA HNOS PINZON 24-25-27-28;29;;;;;
TC0302;D.ESQUERDO;GENERAL;FESTIVO;9;ENTRADA IBIZA;217;;;;;
TC0302;D.ESQUERDO;GENERAL;FESTIVO;19;ENTRADA IBIZA;676;;;;;
TC2111;A.PERPIÑA;GENERAL;FESTIVO;5;ENTRADA IFEMA;35;;;;;
TC2111;A.PERPIÑA;GENERAL;FESTIVO;15;ENTRADA IFEMA;291;;;;;
TC0601;SOR ANGELA;GENERAL;FESTIVO;1;ENTRADA INF. MERCEDES;128;;;;;
TC0601;SOR ANGELA;GENERAL;FESTIVO;11;ENTRADA INF. MERCEDES;396;;;;;
TC0601;SOR ANGELA;GENERAL;FESTIVO;21;ENTRADA INF. MERCEDES;226;;;;;
TC0106;CARLOS V;GENERAL;FESTIVO;7;ENTRADA INFANTA ISABEL;99;;;;;
TC0106;CARLOS V;GENERAL;FESTIVO;17;ENTRADA INFANTA ISABEL;378;;;;;
TC0904;CRISTO REY;GENERAL;FESTIVO;3;ENTRADA ISLA FILIPINA;363;;;;;
TC0904;CRISTO REY;GENERAL;FESTIVO;13;ENTRADA ISLA FILIPINA;1439;;;;;
TC0904;CRISTO REY;GENERAL;FESTIVO;23;ENTRADA ISLA FILIPINA;325;;;;;
TC0701;OLAVIDE;GENERAL;FESTIVO;9;ENTRADA LUCHANA;17;;;;;
TC0701;OLAVIDE;GENERAL;FESTIVO;19;ENTRADA LUCHANA;81;;;;;
TC0510;M.MOLINA;GENERAL;FESTIVO;5;ENTRADA M.MOLINA;685;;;;;
TC0510;M.MOLINA;GENERAL;FESTIVO;15;ENTRADA M.MOLINA;1498;;;;;
TC0511;JM SOLER;GENERAL;FESTIVO;1;ENTRADA M30;183;;;;;
TC0511;JM SOLER;GENERAL;FESTIVO;11;ENTRADA M30;450;;;;;
TC0511;JM SOLER;GENERAL;FESTIVO;21;ENTRADA M30;330;;;;;
TC0307;C.CASAL;GENERAL;FESTIVO;7;ENTRADA M30-A2;345;;;;;
TC0307;C.CASAL;GENERAL;FESTIVO;17;ENTRADA M30-A2;849;;;;;
TC1502;GV HORTALEZA;GENERAL;FESTIVO;3;ENTRADA M30-C.RICA;96;;;;;
TC1502;GV HORTALEZA;GENERAL;FESTIVO;13;ENTRADA M30-C.RICA;403;;;;;
TC1502;GV HORTALEZA;GENERAL;FESTIVO;23;ENTRADA M30-C.RICA;147;;;;;
TC0512;PIO XII;GENERAL;FESTIVO;9;ENTRADA M30+AV.BURGOS;554;;;;;
TC0512;PIO XII;GENERAL;FESTIVO;19;ENTRADA M30+AV.BURGOS;1242;;;;;
TC0306;COMERCIO;GENERAL;FESTIVO;5;ENTRADA MENDEZ ALVARO;31;;;;;
TC0306;COMERCIO;GENERAL;FESTIVO;15;ENTRADA MENDEZ ALVARO;214;;;;;
