Sexo;País de nacimiento;Tipo de dato;Según cuál fuera su conocimiento del castellano hablado;Total
Ambos sexos;Europa;Valores absolutos;Nivel intermedio;432,9
Ambos sexos;Europa;Valores absolutos;Principiante;156,5
Ambos sexos;Europa;Valores absolutos;No sabe/No contesta;11
Ambos sexos;Europa;Porcentajes;Total;100
Ambos sexos;Europa;Porcentajes;Lengua materna (*);12,4
Ambos sexos;Europa;Porcentajes;Nivel avanzado;55,99
Ambos sexos;Europa;Porcentajes;Nivel intermedio;21,26
Ambos sexos;Europa;Porcentajes;Principiante;7,68
Ambos sexos;Europa;Porcentajes;Con ninguna o casi ninguna habilidad lingüística;2,12
Ambos sexos;Europa;Porcentajes;No sabe/No contesta;0,54
Ambos sexos;América Latina;Valores absolutos;Total;2.812,4
Ambos sexos;América Latina;Valores absolutos;Nivel avanzado;134,8
Ambos sexos;América Latina;Valores absolutos;Nivel intermedio;35,2
Ambos sexos;América Latina;Valores absolutos;Principiante;7,7
Ambos sexos;América Latina;Valores absolutos;Con ninguna o casi ninguna habilidad lingüística;1,7
Ambos sexos;América Latina;Valores absolutos;No sabe/No contesta;10,5
Ambos sexos;América Latina;Porcentajes;Total;100
Ambos sexos;América Latina;Porcentajes;Lengua materna (*);93,25
Ambos sexos;América Latina;Porcentajes;Nivel avanzado;4,79
Ambos sexos;América Latina;Porcentajes;Nivel intermedio;1,25
Ambos sexos;América Latina;Porcentajes;Con ninguna o casi ninguna habilidad lingüística;0,06
Ambos sexos;América Latina;Porcentajes;No sabe/No contesta;0,37
Ambos sexos;Resto del mundo;Valores absolutos;Total;1.390,4
Ambos sexos;Resto del mundo;Valores absolutos;Lengua materna (*);97,2
Ambos sexos;Resto del mundo;Valores absolutos;Nivel avanzado;484,2
Ambos sexos;Resto del mundo;Valores absolutos;Nivel intermedio;445,1
Ambos sexos;Resto del mundo;Valores absolutos;Principiante;259,3
Ambos sexos;Resto del mundo;Valores absolutos;Con ninguna o casi ninguna habilidad lingüística;73,8
Ambos sexos;Resto del mundo;Valores absolutos;No sabe/No contesta;30,7
Ambos sexos;Resto del mundo;Porcentajes;Lengua materna (*);6,99
