Comunidad autónoma	Divisiones COICOP	Año	Total
Andalucía	02. Bebidas alcohólicas, tabaco y narcóticos	2018	4.846.247
Andalucía	03. Artículos de vestir y calzado	2021	3.958.131
Andalucía	05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda	2017	5.371.186
Andalucía	06. Salud	2020	5.048.840
Andalucía	08. Información y comunicación	2016	3.434.828
Andalucía	09. Ocio, deporte y cultura	2019	7.412.283
Andalucía	10. Servicios para la educación	2022 (P)	1.474.268
Andalucía	12. Seguros y servicios financieros	2018	4.451.865
Andalucía	13. Cuidados personales, protección social y bienes y servicios varios	2021	5.582.732
Andalucía	P.3. Gasto en consumo final de los hogares	2017	103.908.830
Andalucía	P.4. Consumo final efectivo de los hogares	2020	123.763.381
Aragón	02. Bebidas alcohólicas, tabaco y narcóticos	2016	745.733
Aragón	03. Artículos de vestir y calzado	2019	734.217
Aragón	04. Vivienda, agua, electricidad, gas y otros combustibles	2022 (P)	4.807.853
Aragón	06. Salud	2018	914.933
Aragón	07. Transporte	2021	2.037.624
Aragón	09. Ocio, deporte y cultura	2017	1.152.268
Aragón	10. Servicios para la educación	2020	263.441
Aragón	12. Seguros y servicios financieros	2016	883.346
Aragón	13. Cuidados personales, protección social y bienes y servicios varios	2019	1.215.066
Aragón	Total gasto en consumo final de los hogares interior	2022 (P)	21.489.359
Aragón	P.4. Consumo final efectivo de los hogares	2018	23.732.812
Asturias (Principado de)	01. Alimentos y bebidas no alcohólicas	2021	2.267.525
Asturias (Principado de)	03. Artículos de vestir y calzado	2017	676.925
Asturias (Principado de)	04. Vivienda, agua, electricidad, gas y otros combustibles	2020	3.770.464
Asturias (Principado de)	06. Salud	2016	689.883
Asturias (Principado de)	07. Transporte	2019	1.815.248
Asturias (Principado de)	08. Información y comunicación	2022 (P)	538.821
Asturias (Principado de)	10. Servicios para la educación	2018	164.826
Asturias (Principado de)	11. Restaurantes y servicios de alojamiento	2021	1.711.480
Asturias (Principado de)	13. Cuidados personales, protección social y bienes y servicios varios	2017	783.785
Asturias (Principado de)	Total gasto en consumo final de los hogares interior	2020	13.577.207
Asturias (Principado de)	P.4. Consumo final efectivo de los hogares	2016	17.970.855
Balears (Illes)	01. Alimentos y bebidas no alcohólicas	2019	2.629.637
Balears (Illes)	02. Bebidas alcohólicas, tabaco y narcóticos	2022 (P)	1.036.366
Balears (Illes)	04. Vivienda, agua, electricidad, gas y otros combustibles	2018	5.488.360
Balears (Illes)	05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda	2021	1.003.358
Balears (Illes)	07. Transporte	2017	3.649.501
Balears (Illes)	08. Información y comunicación	2020	656.295
Balears (Illes)	10. Servicios para la educación	2016	195.408
Balears (Illes)	11. Restaurantes y servicios de alojamiento	2019	6.824.364
Balears (Illes)	12. Seguros y servicios financieros	2022 (P)	1.346.642
Balears (Illes)	Total gasto en consumo final de los hogares interior	2018	27.932.172
Balears (Illes)	P.3. Gasto en consumo final de los hogares	2021	18.908.466
Canarias	01. Alimentos y bebidas no alcohólicas	2017	4.027.045
Canarias	02. Bebidas alcohólicas, tabaco y narcóticos	2020	1.238.536
Canarias	04. Vivienda, agua, electricidad, gas y otros combustibles	2016	6.069.653
Canarias	05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda	2019	1.450.656
Canarias	06. Salud	2022 (P)	1.330.622
Canarias	08. Información y comunicación	2018	1.181.985
Canarias	09. Ocio, deporte y cultura	2021	1.771.826
Canarias	11. Restaurantes y servicios de alojamiento	2017	8.048.291
Canarias	12. Seguros y servicios financieros	2020	1.018.887
Canarias	Total gasto en consumo final de los hogares interior	2016	33.555.415
Canarias	P.3. Gasto en consumo final de los hogares	2019	26.194.524
Canarias	P.4. Consumo final efectivo de los hogares	2022 (P)	38.380.553
