Año de llegada a España	Sexo	Edad	País de procedencia	Periodo	Total
Total	Total	Todas las edades	Austria	2023	11.018
Total	Total	Todas las edades	Bulgaria	2021	112.794
Total	Total	Todas las edades	Francia	2023	285.152
Total	Total	Todas las edades	Hungría	2021	10.496
Total	Total	Todas las edades	Noruega	2023	15.344
Total	Total	Todas las edades	Polonia	2021	49.517
Total	Total	Todas las edades	Reino Unido	2023	383.455
Total	Total	Todas las edades	Rumanía	2021	565.676
Total	Total	Todas las edades	Ucrania	2023	199.790
Total	Total	Todas las edades	Moldavia	2021	20.387
Total	Total	Todas las edades	Estonia	2023	3.119
Total	Total	Todas las edades	República Checa	2021	8.157
Total	Total	Todas las edades	Armenia	2023	13.317
Total	Total	Todas las edades	Serbia	2021	5.226
Total	Total	Todas las edades	Argelia	2023	77.417
Total	Total	Todas las edades	Camerún	2021	6.706
Total	Total	Todas las edades	Etiopía	2023	4.597
Total	Total	Todas las edades	Ghana	2021	20.079
Total	Total	Todas las edades	Guinea Ecuatorial	2023	26.568
Total	Total	Todas las edades	Marruecos	2021	929.284
Total	Total	Todas las edades	Sudáfrica	2023	4.817
Total	Total	Todas las edades	Túnez	2021	3.827
Total	Total	Todas las edades	Estados Unidos de América	2023	124.272
Total	Total	Todas las edades	Costa Rica	2021	7.172
Total	Total	Todas las edades	Guatemala	2023	17.878
Total	Total	Todas las edades	Nicaragua	2021	68.554
Total	Total	Todas las edades	Argentina	2023	376.764
Total	Total	Todas las edades	Brasil	2021	155.547
Total	Total	Todas las edades	Ecuador	2023	446.777
Total	Total	Todas las edades	Perú	2021	251.634
Total	Total	Todas las edades	Otros países de América	2023	4.807
Total	Total	Todas las edades	China	2021	196.502
Total	Total	Todas las edades	Indonesia	2023	3.357
Total	Total	Todas las edades	Irán	2021	8.822
Total	Total	Todas las edades	Jordania	2023	3.525
Total	Total	Todas las edades	Nepal	2021	5.449
Total	Total	Todas las edades	Siria	2023	9.925
Total	Total	Todas las edades	Turquía	2021	7.428
Total	Total	Todas las edades	Otros países de Asia	2023	35.009
Total	Total	Todas las edades	Otros países de Oceanía	2021	2.184
Total	Total	Menos de 16 años	Albania	2023	611
Total	Total	Menos de 16 años	Bélgica	2021	3.698
Total	Total	Menos de 16 años	Finlandia	2023	878
Total	Total	Menos de 16 años	Grecia	2021	442
Total	Total	Menos de 16 años	Italia	2023	12.632
Total	Total	Menos de 16 años	Países Bajos	2021	3.289
Total	Total	Menos de 16 años	Andorra	2023	911
Total	Total	Menos de 16 años	Alemania	2021	8.676
Total	Total	Menos de 16 años	Suiza	2023	3.710
Total	Total	Menos de 16 años	Letonia	2021	544
Total	Total	Menos de 16 años	Georgia	2023	2.539
Total	Total	Menos de 16 años	Lituania	2021	925
Total	Total	Menos de 16 años	Croacia	2023	170
Total	Total	Menos de 16 años	Rusia	2021	11.910
Total	Total	Menos de 16 años	Angola	2023	177
Total	Total	Menos de 16 años	Cabo Verde	2021	210
Total	Total	Menos de 16 años	Egipto	2023	780
Total	Total	Menos de 16 años	Gambia	2021	1.262
Total	Total	Menos de 16 años	Guinea-Bissau	2023	309
Total	Total	Menos de 16 años	Mali	2021	1.526
Total	Total	Menos de 16 años	Nigeria	2023	1.406
Total	Total	Menos de 16 años	Senegal	2021	3.980
Total	Total	Menos de 16 años	Canadá	2023	1.681
Total	Total	Menos de 16 años	México	2021	5.555
Total	Total	Menos de 16 años	El Salvador	2023	3.567
Total	Total	Menos de 16 años	Honduras	2021	13.284
Total	Total	Menos de 16 años	República Dominicana	2023	11.532
Total	Total	Menos de 16 años	Bolivia	2021	6.912
Total	Total	Menos de 16 años	Chile	2023	6.524
Total	Total	Menos de 16 años	Paraguay	2021	6.146
Total	Total	Menos de 16 años	Venezuela	2023	49.878
Total	Total	Menos de 16 años	Bangladesh	2021	1.486
Total	Total	Menos de 16 años	India	2023	4.968
Total	Total	Menos de 16 años	Iraq	2021	247
Total	Total	Menos de 16 años	Japón	2023	730
Total	Total	Menos de 16 años	Líbano	2021	476
Total	Total	Menos de 16 años	Corea	2023	467
Total	Total	Menos de 16 años	Tailandia	2021	412
Total	Total	Menos de 16 años	Kazajstán	2023	935
Total	Total	Menos de 16 años	Australia	2021	1.041
Total	Total	De 16 a 24 años	Total	2023	4.548.456
Total	Total	De 16 a 24 años	Austria	2021	560
Total	Total	De 16 a 24 años	Dinamarca	2023	719
Total	Total	De 16 a 24 años	Francia	2021	13.457
Total	Total	De 16 a 24 años	Irlanda	2023	1.800
Total	Total	De 16 a 24 años	Noruega	2021	833
Total	Total	De 16 a 24 años	Portugal	2023	7.611
Total	Total	De 16 a 24 años	Reino Unido	2021	16.565
Total	Total	De 16 a 24 años	Suecia	2023	1.571
Total	Total	De 16 a 24 años	Ucrania	2021	11.945
Total	Total	De 16 a 24 años	Belarús	2023	593
Total	Total	De 16 a 24 años	Estonia	2021	208
Total	Total	De 16 a 24 años	República Eslovaca	2023	334
Total	Total	De 16 a 24 años	Armenia	2021	1.187
Total	Total	De 16 a 24 años	Otros países de Europa	2023	1.089
Total	Total	De 16 a 24 años	Argelia	2021	6.156
Total	Total	De 16 a 24 años	Costa de Marfil	2023	1.116
Total	Total	De 16 a 24 años	Etiopía	2021	1.381
Total	Total	De 16 a 24 años	Guinea	2023	2.630
Total	Total	De 16 a 24 años	Guinea Ecuatorial	2021	3.109
