Diagnóstico principal (CIE10MC);Sexo;Motivo del alta;Total
0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y);Hombres;otras causas;433.828
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;Ambos sexos;otras causas;25.579
0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1;Mujeres;otras causas;9.533
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;Hombres;otras causas;603
0102 Infecciones intestinales mal definidas A09;Ambos sexos;otras causas;434
0102 Infecciones intestinales mal definidas A09;Mujeres;otras causas;249
0103 Tuberculosis A15-A19, B90;Hombres;otras causas;1.391
0104 Septicemia A40-A41;Ambos sexos;otras causas;8.525
0104 Septicemia A40-A41;Mujeres;otras causas;4.531
0105 Infección del virus de la inmunodeficiencia humana B20;Hombres;otras causas;590
0106 COVID-19 U07.1, U09.9;Ambos sexos;otras causas;10.011
0106 COVID-19 U07.1, U09.9;Mujeres;otras causas;2.977
0107 Otras enfermedades infecciosas y parasitarias Resto de  A00-B99;Hombres;otras causas;2.248
0200 NEOPLASIAS C00-D49;Ambos sexos;otras causas;19.073
0200 NEOPLASIAS C00-D49;Mujeres;otras causas;7.734
0201 Neoplasias malignas de colon, recto y ano  C18-C21;Hombres;otras causas;1.386
0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34;Ambos sexos;otras causas;1.946
0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34;Mujeres;otras causas;635
0203 Melanoma y otras neoplasias malignas de la piel C43-C44;Hombres;otras causas;52
0204 Neoplasia maligna de la mama  C50;Ambos sexos;otras causas;481
0204 Neoplasia maligna de la mama  C50;Mujeres;otras causas;478
0205 Neoplasia maligna del útero C53-C55;Hombres;otras causas;..
0206 Neoplasia maligna del ovario C56;Ambos sexos;otras causas;272
0206 Neoplasia maligna del ovario C56;Mujeres;otras causas;272
0207 Neoplasia maligna de la próstata C61;Hombres;otras causas;560
0208 Neoplasia maligna de la vejiga C67;Ambos sexos;otras causas;863
0208 Neoplasia maligna de la vejiga C67;Mujeres;otras causas;159
0209 Otras neoplasias malignas Resto de C00-C97;Hombres;otras causas;5.923
0210 Carcinoma in situ D00-D09;Ambos sexos;otras causas;76
0210 Carcinoma in situ D00-D09;Mujeres;otras causas;11
0211 Neoplasia benigna del colon, del recto, del conducto anal y del ano D12;Hombres;otras causas;34
0212 Leiomioma uterino D25;Ambos sexos;otras causas;161
0212 Leiomioma uterino D25;Mujeres;otras causas;161
0213 Otras neoplasias benignas y neoplasias de comportamiento incierto o desconocido Resto de D00-D49;Hombres;otras causas;1.299
0300 ENFERMEDADES DE LA SANGRE, DE LOS ÓRGANOS HEMATOPOYTICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL MECANISMO DE LA INMUNIDAD   D50-D89;Ambos sexos;otras causas;3.047
0300 ENFERMEDADES DE LA SANGRE, DE LOS ÓRGANOS HEMATOPOYTICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL MECANISMO DE LA INMUNIDAD   D50-D89;Mujeres;otras causas;1.493
0301 Anemias D50-D64;Hombres;otras causas;1.075
0302 Otras enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan al mecanismo inmunitario D65-D89;Ambos sexos;otras causas;873
0302 Otras enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan al mecanismo inmunitario D65-D89;Mujeres;otras causas;394
0400 ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABÓLICAS E00-E89;Hombres;otras causas;6.746
0401 Diabetes mellitus E08-E13;Ambos sexos;otras causas;6.195
0401 Diabetes mellitus E08-E13;Mujeres;otras causas;1.841
0402 Otras enfermedades endocrinas, nutricionales y metabólicas Resto de E00-E89;Hombres;otras causas;2.392
0500 TRASTORNOS MENTALES F01-F99;Ambos sexos;otras causas;395.781
0500 TRASTORNOS MENTALES F01-F99;Mujeres;otras causas;147.820
0501 Demencia F01-F03;Hombres;otras causas;12.542
