Sexo	Diagnóstico principal (CIE10MC)	Provincia, Comunidad y Ciudad autónoma de hospitalización	Total
Ambos sexos	0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y)	Sevilla	1.217.524
Ambos sexos	0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y)	CANTABRIA	671.629
Ambos sexos	0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y)	Zamora	110.719
Ambos sexos	0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y)	Lleida	740.146
Ambos sexos	0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y)	Coruña, A	983.746
Ambos sexos	0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y)	Gipuzkoa	838.779
Ambos sexos	0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1	Huelva	18.519
Ambos sexos	0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1	CANARIAS	145.852
Ambos sexos	0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1	Segovia	6.269
Ambos sexos	0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1	CATALUÑA	341.719
Ambos sexos	0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1	Badajoz	20.794
Ambos sexos	0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1	PAÍS VASCO	80.265
Ambos sexos	0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08	Cádiz	3.134
Ambos sexos	0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08	Zaragoza	3.557
Ambos sexos	0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08	León	1.837
Ambos sexos	0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08	Cuenca	406
Ambos sexos	0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08	Castellón/Castelló	1.545
Ambos sexos	0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08	MADRID, COMUNIDAD DE	24.961
Ambos sexos	0102 Infecciones intestinales mal definidas A09	TOTAL NACIONAL	47.063
Ambos sexos	0102 Infecciones intestinales mal definidas A09	ARAGÓN	1.575
Ambos sexos	0102 Infecciones intestinales mal definidas A09	CASTILLA Y LEÓN	2.740
Ambos sexos	0102 Infecciones intestinales mal definidas A09	CASTILLA - LA MANCHA	1.473
