Sexo	Diagnóstico principal (CIE10MC)	Total Nacional	Comunidades y Ciudades Autónomas	Provincias	Total
Ambos sexos	0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y)	Total Nacional	01 Andalucía	41 Sevilla	1.048.912
Ambos sexos	0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y)	Total Nacional	06 Cantabria		678.612
Ambos sexos	0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y)	Total Nacional	07 Castilla y León	49 Zamora	175.764
Ambos sexos	0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y)	Total Nacional	09 Cataluña	25 Lleida	696.389
Ambos sexos	0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y)	Total Nacional	12 Galicia	15 Coruña, A	866.286
Ambos sexos	0000 TODOS LOS DIAGNÓSTICOS A00-Z99 (excluyendo los códigos V, W, X, Y)	Total Nacional	16 País Vasco	20 Gipuzkoa	825.540
Ambos sexos	0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1	Total Nacional	01 Andalucía	18 Granada	33.867
Ambos sexos	0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1	Total Nacional	04 Balears, Illes		49.679
Ambos sexos	0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1	Total Nacional	07 Castilla y León	37 Salamanca	15.167
Ambos sexos	0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1	Total Nacional	08 Castilla - La Mancha	45 Toledo	27.745
Ambos sexos	0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1	Total Nacional	11 Extremadura		34.196
Ambos sexos	0100 CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS A00-B99, U07.1	Total Nacional	15 Navarra, Comunidad Foral de		18.319
Ambos sexos	0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08	Total Nacional	01 Andalucía		18.323
Ambos sexos	0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08	Total Nacional	02 Aragón	22 Huesca	855
Ambos sexos	0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08	Total Nacional	07 Castilla y León	05 Ávila	927
Ambos sexos	0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08	Total Nacional	08 Castilla - La Mancha	02 Albacete	1.495
Ambos sexos	0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08	Total Nacional	10 Comunitat Valenciana		14.164
Ambos sexos	0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08	Total Nacional	12 Galicia	32 Ourense	1.249
Ambos sexos	0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08	Total Nacional	18 Ceuta		317
Ambos sexos	0102 Infecciones intestinales mal definidas A09	Total Nacional	01 Andalucía	23 Jaén	294
Ambos sexos	0102 Infecciones intestinales mal definidas A09	Total Nacional	05 Canarias	35 Palmas, Las	1.269
Ambos sexos	0102 Infecciones intestinales mal definidas A09	Total Nacional	07 Castilla y León	42 Soria	98
Ambos sexos	0102 Infecciones intestinales mal definidas A09	Total Nacional	09 Cataluña	08 Barcelona	7.295
Ambos sexos	0102 Infecciones intestinales mal definidas A09	Total Nacional	11 Extremadura	10 Cáceres	192
Ambos sexos	0102 Infecciones intestinales mal definidas A09	Total Nacional	16 País Vasco	01 Araba/Álava	368
Ambos sexos	0103 Tuberculosis A15-A19, B90	Total Nacional	01 Andalucía	11 Cádiz	540
Ambos sexos	0103 Tuberculosis A15-A19, B90	Total Nacional	02 Aragón	50 Zaragoza	1.113
Ambos sexos	0103 Tuberculosis A15-A19, B90	Total Nacional	07 Castilla y León	24 León	491
Ambos sexos	0103 Tuberculosis A15-A19, B90	Total Nacional	08 Castilla - La Mancha	16 Cuenca	137
Ambos sexos	0103 Tuberculosis A15-A19, B90	Total Nacional	10 Comunitat Valenciana	12 Castellón/Castelló	462
Ambos sexos	0103 Tuberculosis A15-A19, B90	Total Nacional	13 Madrid, Comunidad de		6.866
Ambos sexos	0103 Tuberculosis A15-A19, B90	Extranjero			1.279
Ambos sexos	0104 Septicemia A40-A41	Total Nacional	01 Andalucía	41 Sevilla	35.314
Ambos sexos	0104 Septicemia A40-A41	Total Nacional	06 Cantabria		8.090
Ambos sexos	0104 Septicemia A40-A41	Total Nacional	07 Castilla y León	49 Zamora	5.513
Ambos sexos	0104 Septicemia A40-A41	Total Nacional	09 Cataluña	25 Lleida	2.661
Ambos sexos	0104 Septicemia A40-A41	Total Nacional	12 Galicia	15 Coruña, A	14.495
Ambos sexos	0104 Septicemia A40-A41	Total Nacional	16 País Vasco	20 Gipuzkoa	12.037
Ambos sexos	0105 Infección del virus de la inmunodeficiencia humana B20	Total Nacional	01 Andalucía	18 Granada	153
Ambos sexos	0105 Infección del virus de la inmunodeficiencia humana B20	Total Nacional	04 Balears, Illes		651
Ambos sexos	0105 Infección del virus de la inmunodeficiencia humana B20	Total Nacional	07 Castilla y León	37 Salamanca	128
Ambos sexos	0105 Infección del virus de la inmunodeficiencia humana B20	Total Nacional	08 Castilla - La Mancha	45 Toledo	519
Ambos sexos	0105 Infección del virus de la inmunodeficiencia humana B20	Total Nacional	11 Extremadura		101
Ambos sexos	0105 Infección del virus de la inmunodeficiencia humana B20	Total Nacional	15 Navarra, Comunidad Foral de		149
Ambos sexos	0106 COVID-19 U07.1, U09.9	Total Nacional	01 Andalucía		58.142
Ambos sexos	0106 COVID-19 U07.1, U09.9	Total Nacional	02 Aragón	22 Huesca	2.790
Ambos sexos	0106 COVID-19 U07.1, U09.9	Total Nacional	07 Castilla y León	05 Ávila	2.881
Ambos sexos	0106 COVID-19 U07.1, U09.9	Total Nacional	08 Castilla - La Mancha	02 Albacete	4.412
Ambos sexos	0106 COVID-19 U07.1, U09.9	Total Nacional	10 Comunitat Valenciana		50.174
Ambos sexos	0106 COVID-19 U07.1, U09.9	Total Nacional	12 Galicia	32 Ourense	7.284
Ambos sexos	0106 COVID-19 U07.1, U09.9	Total Nacional	18 Ceuta		508
Ambos sexos	0107 Otras enfermedades infecciosas y parasitarias Resto de  A00-B99	Total Nacional	01 Andalucía	23 Jaén	2.425
Ambos sexos	0107 Otras enfermedades infecciosas y parasitarias Resto de  A00-B99	Total Nacional	05 Canarias	35 Palmas, Las	4.598
Ambos sexos	0107 Otras enfermedades infecciosas y parasitarias Resto de  A00-B99	Total Nacional	07 Castilla y León	42 Soria	502
Ambos sexos	0107 Otras enfermedades infecciosas y parasitarias Resto de  A00-B99	Total Nacional	09 Cataluña	08 Barcelona	37.017
Ambos sexos	0107 Otras enfermedades infecciosas y parasitarias Resto de  A00-B99	Total Nacional	11 Extremadura	10 Cáceres	1.999
Ambos sexos	0107 Otras enfermedades infecciosas y parasitarias Resto de  A00-B99	Total Nacional	16 País Vasco	01 Araba/Álava	1.766
Ambos sexos	0200 NEOPLASIAS C00-D49	Total Nacional	01 Andalucía	11 Cádiz	81.807
Ambos sexos	0200 NEOPLASIAS C00-D49	Total Nacional	02 Aragón	50 Zaragoza	83.595
Ambos sexos	0200 NEOPLASIAS C00-D49	Total Nacional	07 Castilla y León	24 León	42.862
Ambos sexos	0200 NEOPLASIAS C00-D49	Total Nacional	08 Castilla - La Mancha	16 Cuenca	13.228
Ambos sexos	0200 NEOPLASIAS C00-D49	Total Nacional	10 Comunitat Valenciana	12 Castellón/Castelló	41.054
Ambos sexos	0200 NEOPLASIAS C00-D49	Total Nacional	13 Madrid, Comunidad de		465.357
Ambos sexos	0200 NEOPLASIAS C00-D49	Extranjero			18.733
Ambos sexos	0201 Neoplasias malignas de colon, recto y ano  C18-C21	Total Nacional	01 Andalucía	41 Sevilla	15.747
Ambos sexos	0201 Neoplasias malignas de colon, recto y ano  C18-C21	Total Nacional	06 Cantabria		5.295
Ambos sexos	0201 Neoplasias malignas de colon, recto y ano  C18-C21	Total Nacional	07 Castilla y León	49 Zamora	2.382
Ambos sexos	0201 Neoplasias malignas de colon, recto y ano  C18-C21	Total Nacional	09 Cataluña	25 Lleida	7.554
Ambos sexos	0201 Neoplasias malignas de colon, recto y ano  C18-C21	Total Nacional	12 Galicia	15 Coruña, A	12.729
Ambos sexos	0201 Neoplasias malignas de colon, recto y ano  C18-C21	Total Nacional	16 País Vasco	20 Gipuzkoa	4.439
