Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Provincia, Comunidad y Ciudad autónoma de residencia;Total
Total Nacional;;;Sevilla;1.048.912
Total Nacional;;;CANTABRIA;678.612
Total Nacional;;;Zamora;175.764
Total Nacional;;;Lleida;696.389
Total Nacional;;;Coruña, A;866.286
Total Nacional;;;Gipuzkoa;825.540
Total Nacional;01 Andalucía;;Granada;474.495
Total Nacional;01 Andalucía;;BALEARS, ILLES;1.175
Total Nacional;01 Andalucía;;Salamanca;253
Total Nacional;01 Andalucía;;Toledo;643
Total Nacional;01 Andalucía;;EXTREMADURA;7.559
Total Nacional;01 Andalucía;;NAVARRA, COMUNIDAD FORAL DE;1.391
Total Nacional;01 Andalucía;04 Almería;ANDALUCÍA;323.959
Total Nacional;01 Andalucía;04 Almería;Huesca;..
Total Nacional;01 Andalucía;04 Almería;Ávila;6
Total Nacional;01 Andalucía;04 Almería;Albacete;34
Total Nacional;01 Andalucía;04 Almería;COMUNITAT VALENCIANA;323
Total Nacional;01 Andalucía;04 Almería;Ourense;..
Total Nacional;01 Andalucía;04 Almería;Ceuta;20
Total Nacional;01 Andalucía;11 Cádiz;Jaén;416
Total Nacional;01 Andalucía;11 Cádiz;Palmas, Las;181
Total Nacional;01 Andalucía;11 Cádiz;Soria;16
Total Nacional;01 Andalucía;11 Cádiz;Barcelona;425
Total Nacional;01 Andalucía;11 Cádiz;Cáceres;90
Total Nacional;01 Andalucía;11 Cádiz;Araba/Álava;58
Total Nacional;01 Andalucía;14 Córdoba;Cádiz;3.978
Total Nacional;01 Andalucía;14 Córdoba;Zaragoza;25
Total Nacional;01 Andalucía;14 Córdoba;León;5
Total Nacional;01 Andalucía;14 Córdoba;Cuenca;44
Total Nacional;01 Andalucía;14 Córdoba;Castellón/Castelló;22
Total Nacional;01 Andalucía;14 Córdoba;MADRID, COMUNIDAD DE;659
Total Nacional;01 Andalucía;14 Córdoba;Extranjero;4.932
Total Nacional;01 Andalucía;18 Granada;Sevilla;1.004
Total Nacional;01 Andalucía;18 Granada;CANTABRIA;16
Total Nacional;01 Andalucía;18 Granada;Zamora;6
Total Nacional;01 Andalucía;18 Granada;Lleida;25
Total Nacional;01 Andalucía;18 Granada;Coruña, A;38
Total Nacional;01 Andalucía;18 Granada;Gipuzkoa;149
Total Nacional;01 Andalucía;21 Huelva;Granada;182
Total Nacional;01 Andalucía;21 Huelva;BALEARS, ILLES;8
Total Nacional;01 Andalucía;21 Huelva;Salamanca;18
Total Nacional;01 Andalucía;21 Huelva;Toledo;19
Total Nacional;01 Andalucía;21 Huelva;EXTREMADURA;248
Total Nacional;01 Andalucía;21 Huelva;NAVARRA, COMUNIDAD FORAL DE;2
Total Nacional;01 Andalucía;23 Jaén;ANDALUCÍA;266.801
Total Nacional;01 Andalucía;23 Jaén;Huesca;9
Total Nacional;01 Andalucía;23 Jaén;Ávila;9
Total Nacional;01 Andalucía;23 Jaén;Albacete;141
Total Nacional;01 Andalucía;23 Jaén;COMUNITAT VALENCIANA;449
Total Nacional;01 Andalucía;23 Jaén;Ourense;1
Total Nacional;01 Andalucía;23 Jaén;Ceuta;..
Total Nacional;01 Andalucía;29 Málaga;Jaén;11.362
Total Nacional;01 Andalucía;29 Málaga;Palmas, Las;984
Total Nacional;01 Andalucía;29 Málaga;Soria;222
Total Nacional;01 Andalucía;29 Málaga;Barcelona;1.042
Total Nacional;01 Andalucía;29 Málaga;Cáceres;226
Total Nacional;01 Andalucía;29 Málaga;Araba/Álava;74
Total Nacional;01 Andalucía;41 Sevilla;Cádiz;28.244
Total Nacional;01 Andalucía;41 Sevilla;Zaragoza;108
Total Nacional;01 Andalucía;41 Sevilla;León;50
Total Nacional;01 Andalucía;41 Sevilla;Cuenca;6
Total Nacional;01 Andalucía;41 Sevilla;Castellón/Castelló;52
Total Nacional;01 Andalucía;41 Sevilla;MADRID, COMUNIDAD DE;3.352
Total Nacional;01 Andalucía;41 Sevilla;Extranjero;38.955
Total Nacional;02 Aragón;;Sevilla;213
Total Nacional;02 Aragón;;CANTABRIA;185
Total Nacional;02 Aragón;;Zamora;170
Total Nacional;02 Aragón;;Lleida;1.616
Total Nacional;02 Aragón;;Coruña, A;36
Total Nacional;02 Aragón;;Gipuzkoa;633
Total Nacional;02 Aragón;22 Huesca;Granada;..
Total Nacional;02 Aragón;22 Huesca;BALEARS, ILLES;2
Total Nacional;02 Aragón;22 Huesca;Salamanca;13
Total Nacional;02 Aragón;22 Huesca;Toledo;4
Total Nacional;02 Aragón;22 Huesca;EXTREMADURA;5
Total Nacional;02 Aragón;22 Huesca;NAVARRA, COMUNIDAD FORAL DE;28
Total Nacional;02 Aragón;44 Teruel;ANDALUCÍA;21
Total Nacional;02 Aragón;44 Teruel;Huesca;12
Total Nacional;02 Aragón;44 Teruel;Ávila;..
Total Nacional;02 Aragón;44 Teruel;Albacete;..
Total Nacional;02 Aragón;44 Teruel;COMUNITAT VALENCIANA;1.907
Total Nacional;02 Aragón;44 Teruel;Ourense;..
Total Nacional;02 Aragón;44 Teruel;Ceuta;..
Total Nacional;02 Aragón;50 Zaragoza;Jaén;52
Total Nacional;02 Aragón;50 Zaragoza;Palmas, Las;78
Total Nacional;02 Aragón;50 Zaragoza;Soria;1.433
Total Nacional;02 Aragón;50 Zaragoza;Barcelona;79
Total Nacional;02 Aragón;50 Zaragoza;Cáceres;38
Total Nacional;02 Aragón;50 Zaragoza;Araba/Álava;9
Total Nacional;03 Asturias, Principado de;;Cádiz;13
Total Nacional;03 Asturias, Principado de;;Zaragoza;28
Total Nacional;03 Asturias, Principado de;;León;923
Total Nacional;03 Asturias, Principado de;;Cuenca;104
Total Nacional;03 Asturias, Principado de;;Castellón/Castelló;12
Total Nacional;03 Asturias, Principado de;;MADRID, COMUNIDAD DE;1.476
Total Nacional;03 Asturias, Principado de;;Extranjero;346
Total Nacional;04 Balears, Illes;;Sevilla;131
Total Nacional;04 Balears, Illes;;CANTABRIA;23
Total Nacional;04 Balears, Illes;;Zamora;13
Total Nacional;04 Balears, Illes;;Lleida;47
