Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Sexo;Grupo de edad;Total
Total Nacional;;;Ambos sexos;de 65 a 74 años;7.334.456
Total Nacional;;;Hombres;de 25 a 34 años;736.539
Total Nacional;;;Mujeres;menores de 1 año;318.889
Total Nacional;;;Mujeres;de 85 a 89 años;2.300.571
Total Nacional;01 Andalucía;;Ambos sexos;de 45 a 54 años;475.219
Total Nacional;01 Andalucía;;Hombres;de 5 a 14 años;40.658
Total Nacional;01 Andalucía;;Hombres;de 95 años y más;11.927
Total Nacional;01 Andalucía;;Mujeres;de 65 a 74 años;346.579
Total Nacional;01 Andalucía;04 Almería;Ambos sexos;de 25 a 34 años;23.995
Total Nacional;01 Andalucía;04 Almería;Hombres;menores de 1 año;6.781
Total Nacional;01 Andalucía;04 Almería;Hombres;de 85 a 89 años;11.758
Total Nacional;01 Andalucía;04 Almería;Mujeres;de 45 a 54 años;15.149
Total Nacional;01 Andalucía;11 Cádiz;Ambos sexos;de 5 a 14 años;9.834
Total Nacional;01 Andalucía;11 Cádiz;Ambos sexos;de 95 años y más;6.330
Total Nacional;01 Andalucía;11 Cádiz;Hombres;de 65 a 74 años;78.749
Total Nacional;01 Andalucía;11 Cádiz;Mujeres;de 25 a 34 años;21.590
Total Nacional;01 Andalucía;14 Córdoba;Ambos sexos;menores de 1 año;11.796
Total Nacional;01 Andalucía;14 Córdoba;Ambos sexos;de 85 a 89 años;41.162
Total Nacional;01 Andalucía;14 Córdoba;Hombres;de 45 a 54 años;21.374
Total Nacional;01 Andalucía;14 Córdoba;Mujeres;de 5 a 14 años;2.556
Total Nacional;01 Andalucía;14 Córdoba;Mujeres;de 95 años y más;3.200
Total Nacional;01 Andalucía;18 Granada;Ambos sexos;de 65 a 74 años;91.140
Total Nacional;01 Andalucía;18 Granada;Hombres;de 25 a 34 años;7.971
Total Nacional;01 Andalucía;18 Granada;Mujeres;menores de 1 año;5.053
Total Nacional;01 Andalucía;18 Granada;Mujeres;de 85 a 89 años;20.508
Total Nacional;01 Andalucía;21 Huelva;Ambos sexos;de 45 a 54 años;29.734
Total Nacional;01 Andalucía;21 Huelva;Hombres;de 5 a 14 años;3.027
Total Nacional;01 Andalucía;21 Huelva;Hombres;de 95 años y más;891
Total Nacional;01 Andalucía;21 Huelva;Mujeres;de 65 a 74 años;23.109
Total Nacional;01 Andalucía;23 Jaén;Ambos sexos;de 25 a 34 años;19.537
Total Nacional;01 Andalucía;23 Jaén;Hombres;menores de 1 año;3.444
Total Nacional;01 Andalucía;23 Jaén;Hombres;de 85 a 89 años;13.491
Total Nacional;01 Andalucía;23 Jaén;Mujeres;de 45 a 54 años;14.347
Total Nacional;01 Andalucía;29 Málaga;Ambos sexos;de 5 a 14 años;14.535
Total Nacional;01 Andalucía;29 Málaga;Ambos sexos;de 95 años y más;5.039
Total Nacional;01 Andalucía;29 Málaga;Hombres;de 65 a 74 años;108.933
Total Nacional;01 Andalucía;29 Málaga;Mujeres;de 25 a 34 años;34.247
Total Nacional;01 Andalucía;41 Sevilla;Ambos sexos;menores de 1 año;29.534
Total Nacional;01 Andalucía;41 Sevilla;Ambos sexos;de 85 a 89 años;74.587
Total Nacional;01 Andalucía;41 Sevilla;Hombres;de 45 a 54 años;62.053
Total Nacional;01 Andalucía;41 Sevilla;Mujeres;de 5 a 14 años;8.494
Total Nacional;01 Andalucía;41 Sevilla;Mujeres;de 95 años y más;6.030
Total Nacional;02 Aragón;;Ambos sexos;de 65 a 74 años;286.184
Total Nacional;02 Aragón;;Hombres;de 25 a 34 años;24.035
Total Nacional;02 Aragón;;Mujeres;menores de 1 año;6.988
Total Nacional;02 Aragón;;Mujeres;de 85 a 89 años;76.384
Total Nacional;02 Aragón;22 Huesca;Ambos sexos;de 45 a 54 años;20.723
Total Nacional;02 Aragón;22 Huesca;Hombres;de 5 a 14 años;914
Total Nacional;02 Aragón;22 Huesca;Hombres;de 95 años y más;1.368
Total Nacional;02 Aragón;22 Huesca;Mujeres;de 65 a 74 años;22.893
Total Nacional;02 Aragón;44 Teruel;Ambos sexos;de 25 a 34 años;3.767
Total Nacional;02 Aragón;44 Teruel;Hombres;menores de 1 año;1.086
Total Nacional;02 Aragón;44 Teruel;Hombres;de 85 a 89 años;28.234
Total Nacional;02 Aragón;44 Teruel;Mujeres;de 45 a 54 años;3.186
Total Nacional;02 Aragón;50 Zaragoza;Ambos sexos;de 5 a 14 años;11.067
