Sexo	Comunidades y Ciudades Autónomas	Edad	Periodo	Total
Ambos sexos	Total Nacional	Total	2015	22,06
Ambos sexos	Total Nacional	Menores de 25 años	2024	26,52
Ambos sexos	Total Nacional	Menores de 25 años	2014	53,2
Ambos sexos	Total Nacional	25 y más años	2023	10,93
Ambos sexos	Total Nacional	25 y más años	2013	23,75
Ambos sexos	Total Nacional	De 16 a 19 años	2022	44,97
Ambos sexos	Total Nacional	De 16 a 19 años	2012	72,55
Ambos sexos	Total Nacional	De 20 a 24 años	2021	31,76
Ambos sexos	Total Nacional	De 20 a 24 años	2011	42,33
Ambos sexos	Total Nacional	De 25 a 54 años	2020	14,48
Ambos sexos	Total Nacional	De 25 a 54 años	2010	18,37
Ambos sexos	Total Nacional	55 y más años	2019	12,24
Ambos sexos	Total Nacional	55 y más años	2009	11,53
Ambos sexos	01 Andalucía	Total	2018	22,99
Ambos sexos	01 Andalucía	Total	2008	17,73
Ambos sexos	01 Andalucía	Menores de 25 años	2017	49,05
Ambos sexos	01 Andalucía	Menores de 25 años	2007	23,22
Ambos sexos	01 Andalucía	25 y más años	2016	26,67
Ambos sexos	01 Andalucía	25 y más años	2006	11,16
Ambos sexos	01 Andalucía	De 16 a 19 años	2015	73,5
Ambos sexos	01 Andalucía	De 20 a 24 años	2024	34,08
Ambos sexos	01 Andalucía	De 20 a 24 años	2014	59,42
Ambos sexos	01 Andalucía	De 25 a 54 años	2023	16,35
Ambos sexos	01 Andalucía	De 25 a 54 años	2013	33,9
Ambos sexos	01 Andalucía	55 y más años	2022	18,38
Ambos sexos	01 Andalucía	55 y más años	2012	27,59
Ambos sexos	02 Aragón	Total	2021	10,33
Ambos sexos	02 Aragón	Total	2011	17,07
Ambos sexos	02 Aragón	Menores de 25 años	2020	28,39
Ambos sexos	02 Aragón	Menores de 25 años	2010	31,88
Ambos sexos	02 Aragón	25 y más años	2019	8,85
Ambos sexos	02 Aragón	25 y más años	2009	11,35
Ambos sexos	02 Aragón	De 16 a 19 años	2018	39,47
Ambos sexos	02 Aragón	De 16 a 19 años	2008	34,76
Ambos sexos	02 Aragón	De 20 a 24 años	2017	26,55
Ambos sexos	02 Aragón	De 20 a 24 años	2007	10,98
Ambos sexos	02 Aragón	De 25 a 54 años	2016	14,01
Ambos sexos	02 Aragón	De 25 a 54 años	2006	5,06
Ambos sexos	02 Aragón	55 y más años	2015	8,91
Ambos sexos	03 Asturias, Principado de	Total	2024	10,12
Ambos sexos	03 Asturias, Principado de	Total	2014	21,13
Ambos sexos	03 Asturias, Principado de	Menores de 25 años	2023	29,16
Ambos sexos	03 Asturias, Principado de	Menores de 25 años	2013	54,97
Ambos sexos	03 Asturias, Principado de	25 y más años	2022	11,25
Ambos sexos	03 Asturias, Principado de	25 y más años	2012	20,39
Ambos sexos	03 Asturias, Principado de	De 16 a 19 años	2021	51,81
Ambos sexos	03 Asturias, Principado de	De 16 a 19 años	2011	58,4
Ambos sexos	03 Asturias, Principado de	De 20 a 24 años	2020	32,8
Ambos sexos	03 Asturias, Principado de	De 20 a 24 años	2010	34,4
Ambos sexos	03 Asturias, Principado de	De 25 a 54 años	2019	14,47
Ambos sexos	03 Asturias, Principado de	De 25 a 54 años	2009	12,36
Ambos sexos	03 Asturias, Principado de	55 y más años	2018	9,03
Ambos sexos	03 Asturias, Principado de	55 y más años	2008	4,27
Ambos sexos	04 Balears, Illes	Total	2017	12,43
Ambos sexos	04 Balears, Illes	Total	2007	7,16
Ambos sexos	04 Balears, Illes	Menores de 25 años	2016	38,87
Ambos sexos	04 Balears, Illes	Menores de 25 años	2006	13,36
Ambos sexos	04 Balears, Illes	25 y más años	2015	15,36
Ambos sexos	04 Balears, Illes	De 16 a 19 años	2024	39,15
Ambos sexos	04 Balears, Illes	De 16 a 19 años	2014	63,88
Ambos sexos	04 Balears, Illes	De 20 a 24 años	2023	16,25
Ambos sexos	04 Balears, Illes	De 20 a 24 años	2013	42,1
Ambos sexos	04 Balears, Illes	De 25 a 54 años	2022	9,85
Ambos sexos	04 Balears, Illes	De 25 a 54 años	2012	21,37
Ambos sexos	04 Balears, Illes	55 y más años	2021	11,16
Ambos sexos	04 Balears, Illes	55 y más años	2011	15,07
Ambos sexos	05 Canarias	Total	2020	22,62
Ambos sexos	05 Canarias	Total	2010	28,6
Ambos sexos	05 Canarias	Menores de 25 años	2019	42,18
Ambos sexos	05 Canarias	Menores de 25 años	2009	47,77
Ambos sexos	05 Canarias	25 y más años	2018	18,75
Ambos sexos	05 Canarias	25 y más años	2008	15,51
Ambos sexos	05 Canarias	De 16 a 19 años	2017	65,04
Ambos sexos	05 Canarias	De 16 a 19 años	2007	37,15
Ambos sexos	05 Canarias	De 20 a 24 años	2016	48,8
Ambos sexos	05 Canarias	De 20 a 24 años	2006	18,72
Ambos sexos	05 Canarias	De 25 a 54 años	2015	27,5
Ambos sexos	05 Canarias	55 y más años	2024	13,49
Ambos sexos	05 Canarias	55 y más años	2014	26,77
Ambos sexos	06 Cantabria	Total	2023	8,14
Ambos sexos	06 Cantabria	Total	2013	20,44
Ambos sexos	06 Cantabria	Menores de 25 años	2022	26,97
Ambos sexos	06 Cantabria	Menores de 25 años	2012	41,68
Ambos sexos	06 Cantabria	25 y más años	2021	10,57
Ambos sexos	06 Cantabria	25 y más años	2011	13,63
Ambos sexos	06 Cantabria	De 16 a 19 años	2020	47,73
Ambos sexos	06 Cantabria	De 16 a 19 años	2010	51,4
Ambos sexos	06 Cantabria	De 20 a 24 años	2019	29,05
Ambos sexos	06 Cantabria	De 20 a 24 años	2009	27,71
Ambos sexos	06 Cantabria	De 25 a 54 años	2018	10,14
Ambos sexos	06 Cantabria	De 25 a 54 años	2008	6,48
Ambos sexos	06 Cantabria	55 y más años	2017	9,98
Ambos sexos	06 Cantabria	55 y más años	2007	2,52
Ambos sexos	07 Castilla y León	Total	2016	15,82
Ambos sexos	07 Castilla y León	Total	2006	8,11
Ambos sexos	07 Castilla y León	Menores de 25 años	2015	47,99
Ambos sexos	07 Castilla y León	25 y más años	2024	8,26
Ambos sexos	07 Castilla y León	25 y más años	2014	19,02
Ambos sexos	07 Castilla y León	De 16 a 19 años	2023	32,34
Ambos sexos	07 Castilla y León	De 16 a 19 años	2013	71,79
