_id,ANO,TIPO,ORGANISMO,POBLACION,ENTIDAD,AREA DE GASTO,POLITICA DE GASTO,GRUPO DE PROGRAMAS,PROGRAMAS,SUBPROGRAMAS,CLAS. ECONOMICA,CREDITOS INICIALES,CREDITOS DEFINITIVOS,EJECUTADO,PAGADO,PAGADO EJERCICIO CERRADO
46,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",34 - Precios públicos,342 - Servicios educativos,34201 - Precios Públicos,60000,60000,38630.58,38630.58,0
47,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",34 - Precios públicos,342 - Servicios educativos,34202 - Precios Públicos,110000,110000,82535.04,76584.42,5771.18
48,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",34 - Precios públicos,342 - Servicios educativos,34203 - PRECIOS PUBLICOS,304776,304776,351077.33,317908.3,54070.23
49,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",34 - Precios públicos,"344 - Entradas a museos, exposiciones, espectáculos","34400 - Entradas a museos, exposiciones, espectáculos",0,0,10892,10892,0
51,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",34 - Precios públicos,349 - Otros precios públicos,34901 - Precios Públicos,0,0,0,0,0
52,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",34 - Precios públicos,349 - Otros precios públicos,34902 - Prestación servicios limpieza de sumideros,0,0,0,0,0
53,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",34 - Precios públicos,349 - Otros precios públicos,34910 - Mercados,0,0,0,0,0
54,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",34 - Precios públicos,349 - Otros precios públicos,34911 - Ferias y exposiciones,26000,26000,13868.93,13868.93,0
55,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",35 - Contribuciones especiales,350 - Para la ejecución de obras,35003 - NO SE UTILIZA,0,0,0,0,0
56,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",36 - Ventas,360 - Ventas,36000 - Venta efectos inútiles,1000,1000,3244.5,3244.5,0
57,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",36 - Ventas,360 - Ventas,36001 - Venta efectos inútiles,0,0,0,0,0
58,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",36 - Ventas,360 - Ventas,36002 - Aguas Avilés trabajos y servicios aguas,0,0,0,0,0
59,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",36 - Ventas,360 - Ventas,36003 - NO SE UTILIZA,0,0,0,0,0
61,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",38 - Reintegros de operaciones corrientes,389 - Otros reintegros de operaciones corrientes,38901 - REINTEGRO. SEGUROS SOCIALES,1000,1000,10873.43,10873.43,0
62,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",38 - Reintegros de operaciones corrientes,389 - Otros reintegros de operaciones corrientes,38902 - Anuncios a cargo de particulares,1000,1000,0,0,0
63,2018,Ingresos,Ayuntamiento,Avilés,Ayuntamiento Avilés,I - Ingresos no financieros,I - Ingresos corrientes,"3 - TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",38 - Reintegros de operaciones corrientes,389 - Otros reintegros de operaciones corrientes,38903 - Obras a cargo de partculares,100000,100000,587264.06,-9283.63,129191.52
