atm_inventario_año;atm_inventario_sector_GNFR;atm_inventario_sector_NFR;atm_inventario_actividad_NFR;atm_inventario_contaminante;atm_inventario_cantidad_kt
1990;B. Industria;NFR 1: Energía;1A2a  Hierro y acero;SO2;0,628039133
1990;B. Industria;NFR 1: Energía;1A2d  Pasta de papel, papel e impresión;NH3;0,0008812
1990;B. Industria;NFR 1: Energía;1A2f  Minerales no metálicos;COVNM;0,164247961
1990;B. Industria;NFR 2: Procesos industriales y uso de productos (IPPU);2C1  Producción de hierro y acero;CO;0,956192438
1990;B. Industria;NFR 2: Procesos industriales y uso de productos (IPPU);2L  Otra producción, consumo, almacenamiento, transporte o manipulación de productos a granel;NH3;0,008754157
1990;C. Otra combustión estacionaria;NFR 1: Energía;1A4c  Agricultura/Silvicultura/Pesca;CO;0,016642653
1990;E. Disolventes;NFR 2: Procesos industriales y uso de productos (IPPU);2D3g  Productos quimicos;COVNM;4,013566585
1990;F. Transporte por carretera;NFR 1: Energía;1A3b  Transporte por carretera;COVNM;47,719499462
1990;I. Otros medios de transporte;NFR 1: Energía;1A2g  Otros sectores;NOX;0,829968566
1990;I. Otros medios de transporte;NFR 1: Energía;1A4c  Agricultura/Silvicultura/Pesca;NOX;0,691751734
1990;J. Residuos;NFR 5: Residuos;5C1b  Incineración de lodos de depuradora y cremación;COVNM;0,000530539
1990;J. Residuos;NFR 5: Residuos;5D2  Tratamiento y eliminación de aguas residuales industriales;CO;0,005495842
1990;K. Ganadería;NFR 3: Agricultura;3B1b  Manejo del estiércol - Ganado no lechero;NOX;0,009677369
1990;K. Ganadería;NFR 3: Agricultura;3B4e  Manejo del estiércol - Caballos;NH3;0,045338974
1990;K. Ganadería;NFR 3: Agricultura;3B4h  Manejo de estiércol - Otros animales ;COVNM;0,002037878
1990;L. Otros agricultura;NFR 3: Agricultura;3De  Cultivos;COVNM;0,050188082
1991;B. Industria;NFR 1: Energía;1A1c  Fabricación de combustibles sólidos y otras industrias energéticas;NOX;0,001015421
1991;B. Industria;NFR 1: Energía;1A2c  Productos químicos;CO;0,560065528
1991;B. Industria;NFR 1: Energía;1A2e  Procesado de alimentos, bebidas y tabaco;NH3;0,000013874
1991;B. Industria;NFR 1: Energía;1A2g  Otros sectores;COVNM;1,6253343609
1991;B. Industria;NFR 2: Procesos industriales y uso de productos (IPPU);2D3c  Techos de asfalto;COVNM;0,001324721
