inventario_gei_año;inventario_gei_sector_CRF;inventario_gei_categoria_CRF;inventario_gei_actividad_CRF;inventario_gei_contaminante;inventario_gei_Gg_CO2_eq
1990;CRF 1 Energía;1.A. Actividades de combustión;1A2b Metales no ferrosos;CO2;16,3716564273
1990;CRF 1 Energía;1.A. Actividades de combustión;1A2e  Procesado de alimentos, bebidas y tabaco;N2O;0,47005117
1990;CRF 1 Energía;1.A. Actividades de combustión;1A3b Transporte rodado;CH4;59,344284188
1990;CRF 1 Energía;1.A. Actividades de combustión;1A4b  ResidencialEstacionaria;CO2;2573,15479
1990;CRF 2 Procesos industriales y uso de productos;2.A. Productos minerales;2A1 Producción de cemento;CO2;697,08975
1990;CRF 2 Procesos industriales y uso de productos;2.G. Otras fuentes de emisión de procesos industriales;2G1b Equipos eléctricos/Stock;SF6;7,2291235095
1990;CRF 3 Sector agrario;3.A. Fermentación entérica;3A46 Conejos;CH4;0,45191048
1990;CRF 3 Sector agrario;3.D. Suelos agrícolas;3D11 Fertilizantes inorgánicos de N;N2O;26,758241705
1990;CRF 3 Sector agrario;3.F. Quema en el campo de residuos agrícolas;3F13 Maíz;CH4;2,862861316
1990;CRF 4 Uso de la tierra, cambios de usos de la tierra y selvicultura;4(IV)2 Emisiones indirectas de N2O;4(IV)2 Emisiones indirectas de N2O;N2O;0,0950152472
1990;CRF 4 Uso de la tierra, cambios de usos de la tierra y selvicultura;4.B. Tierras de cultivo;4B11 Tierras de cultivo que siguen siendo tierras de cultivo;CO2;3,2131376871
1990;CRF 4 Uso de la tierra, cambios de usos de la tierra y selvicultura;4.C. Pastizales;4C21 Tierras forestales convertidas en pastizales;CO2;1,2306488485
1990;CRF 4 Uso de la tierra, cambios de usos de la tierra y selvicultura;4.G. Productos madereros;4G11 Madera sólida;CO2;-298,3459178947
1990;CRF 5 Residuos;5.C. Incineración y quema en espacio abierto de residuos sólidos;5C22 Quema abierta de residuos no biogénicos;CO2;0,461962
1991;CRF 1 Energía;1.A. Actividades de combustión;1A1c  Fabricación de combustibles sólidos y otras industrias energéticas;N2O;0,006005695
1991;CRF 1 Energía;1.A. Actividades de combustión;1A2d Pasta de papel, papel e impresión;CH4;1,378292048
1991;CRF 1 Energía;1.A. Actividades de combustión;1A2g Otros sectores;N2O;7,711928993
1991;CRF 1 Energía;1.A. Actividades de combustión;1A3c Transporte por ferrocarril;CH4;0,03966004
1991;CRF 1 Energía;1.A. Actividades de combustión;1A5b  Otros, móviles (incluidos barcos militares, terrestres y de recreo);CH4;0,016381932
1991;CRF 2 Procesos industriales y uso de productos;2.C. Producción metalúrgica;2C1a Producción de acero;CO2;27,311698
1991;CRF 3 Sector agrario;3.A. Fermentación entérica;3A2 Ovino;CH4;32,093736388
1991;CRF 3 Sector agrario;3.B. Gestión del estiércol;3B22 Ovino;N2O;2,66959198
1991;CRF 3 Sector agrario;3.F. Quema en el campo de residuos agrícolas;3F11 Trigo;CH4;1,800685964
1991;CRF 3 Sector agrario;3.F. Quema en el campo de residuos agrícolas;3F31 Tubérculos y raíces;CH4;1,43997224
1991;CRF 4 Uso de la tierra, cambios de usos de la tierra y selvicultura;4.A. Tierras forestales;4A21 Tierras de cultivo convertidas en tierras forestales;CO2;-32,7713213756
1991;CRF 4 Uso de la tierra, cambios de usos de la tierra y selvicultura;4.B. Tierras de cultivo;4B23 Humedales convertidos en tierras de cultivo;CO2;0,0
1991;CRF 4 Uso de la tierra, cambios de usos de la tierra y selvicultura;4.C. Pastizales;4C25 Otras tierras convertidas en pastizales;CO2;0,0
1991;CRF 4 Uso de la tierra, cambios de usos de la tierra y selvicultura;4.F. Otras tierras;4F21 Tierras forestales convertidas en otras tierras;CO2;0,0583193364
