ID_EXPEDIENTE;DS_ESTADO;FC_SOLICITUD;TL_FECHA_INI_PER;TL_FECHA_FIN_PER;TL_MUN_INTER;TLLOCALIDAD_AFEC1;TLLOCALIDAD_AFEC2;TLLOCALIDAD_AFEC3;TLLOCALIDAD_AFEC4;TLLOCALIDAD_AFEC5;TLLOCALIDAD_AFEC6;TLLOCALIDAD_AFEC7;ITCAUSAS_EXPO;TL_CAUSA_FM;TL_CAUSA_ECO;ITCAUSAS_OR;TL_CAUSA_TEC;TL_CAUSA_PRO;TL_CNAE_09;DSCNAE;NUM_TRAB_PLANT;NUM_TRAB_AFECT;TL_MED_SUSP;TL_MED_RED;TL_MED_EXT
09/2874/00443.4/2022;Iniciado;2022-04-01 12:29:53.0;01/04/2022;30/09/2022;Madrid;MADRID;;;;;;;;SI;NO;NO;NO;NO;4729;Otro comercio al por menor de productos alimenticios en establecimientos especializados;9;1;SI;NO;NO
09/2874/00453.6/2022;Iniciado;2022-04-01 15:07:29.0;01/04/2022;31/03/2023;Madrid;MADRID;;;;;;;;NO;SI;NO;NO;NO;4741;Comercio al por menor de ordenadores, equipos periféricos y programas informáticos en establecimientos especializados;17;17;NO;SI;NO
09/2874/00463.8/2022;Iniciado;2022-04-01 19:40:28.0;07/04/2022;06/10/2022;Madrid;MADRID;;;;;;;;NO;SI;NO;NO;NO;8121;Limpieza general de edificios;14;2;SI;NO;NO
09/2874/00473.1/2022;Iniciado;2022-04-04 12:05:24.0;01/04/2022;31/12/2022;Alcalá de Henares;ALCALA DE HENARES;;;;;;;;NO;NO;NO;NO;NO;7911;Actividades de las agencias de viajes;3;1;SI;NO;NO
09/2874/00483.3/2022;Iniciado;2022-04-04 15:32:37.0;01/04/2021;31/05/2022;Valdemoro;VALDEMORO;;;;;;;;NO;NO;NO;NO;NO;1086;Elaboración de preparados alimenticios homogeneizados y alimentos dietéticos;13;7;SI;SI;NO
09/2874/00493.5/2022;Iniciado;2022-04-05 11:33:23.0;08/04/2022;30/04/2023;Madrid;MADRID;;;;;;;;NO;NO;NO;SI;NO;1089;Elaboración de otros productos alimenticios n.c.o.p.;1;1;SI;NO;NO
09/2874/00503.8/2022;Iniciado;2022-04-05 14:14:23.0;01/04/2022;31/08/2022;Algete;ALGETE;;;;;;;;SI;NO;NO;NO;NO;8510;Educación preprimaria;3;1;SI;NO;NO
09/2874/00513.1/2022;Iniciado;2022-04-05 18:44:51.0;01/04/2022;31/12/2022;Madrid;MADRID;;;;;;;;NO;NO;NO;NO;NO;7911;Actividades de las agencias de viajes;8;5;SI;SI;NO
09/2874/00523.3/2022;Iniciado;2022-04-06 14:14:51.0;01/04/2022;31/12/2022;Madrid;MADRID;;;;;;;;NO;NO;NO;NO;NO;7911;Actividades de las agencias de viajes;13;13;SI;SI;NO
09/2874/00532.4/2022;Iniciado;2022-04-06 19:05:51.0;19/04/2022;18/10/2023;Madrid;Madrid;;;;;;;;NO;NO;NO;NO;NO;5320;Otras actividades postales y de correos;72;22;SI;SI;NO
09/2874/00542.6/2022;Iniciado;2022-04-07 13:58:45.0;07/04/2022;06/04/2023;Arganda del Rey;Madrid;;;;;;;;NO;NO;NO;NO;NO;4726;Comercio al por menor de productos de tabaco en establecimientos especializados;1;1;SI;NO;NO
09/2874/00552.8/2022;Iniciado;2022-04-07 20:55:26.0;13/04/2022;30/11/2022;Madrid;MADRID;;;;;;;;NO;NO;NO;NO;NO;4752;Comercio al por menor de ferretería, pintura y vidrio en establecimientos especializados;3;3;NO;SI;NO
