linea_id,titulo_id,viaje_hora,parada_entrada_id,parada_salida_id,pasajeros_cantidad,tipo_dia,fechas_calculadas,linea_siguiente_id,linea_anterior_id,matriz_id
139,76,19,1110,1775,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
138,77,13,1110,9181,4,Sabado,9,14,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
138,76,13,1110,9413,1,Festivo,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
139,76,12,1113,1769,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
138,76,11,1114,9181,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,200,17,1115,7029,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
111,76,12,1115,7129,1,Festivo,9,0,139,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,76,18,1115,8129,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,76,22,1125,2693,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,50,18,1125,9413,2,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
111,150,14,1125,9449,1,Festivo,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,76,9,1125,9449,1,Sabado,9,102,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,76,17,1125,9449,4,Sabado,9,1,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,76,21,1125,9449,2,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
121,150,14,1151,2247,1,Festivo,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,76,21,1151,7019,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,76,17,1151,7023,2,Festivo,9,0,934,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,77,18,1151,7025,2,Festivo,9,0,934,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,50,11,1151,7029,2,Festivo,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,76,17,1151,7029,1,Festivo,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
121,77,22,1151,7057,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
139,76,8,1102,1110,1,Festivo,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
138,79,6,1110,9181,1,Sabado,9,1,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
138,76,13,1110,9181,1,Sabado,9,122,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
138,79,16,1110,9181,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
139,77,15,1113,1114,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
139,79,12,1114,9181,2,Sabado,9,15,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,77,18,1115,7118,1,Sabado,9,120,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
138,150,10,1110,1769,5,Festivo,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
138,77,13,1110,9181,2,Sabado,9,111,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
138,76,20,1110,9181,2,Festivo,9,1,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
138,76,7,1112,9181,1,Festivo,9,103,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
139,76,19,1113,9181,1,Festivo,9,108,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,76,9,1115,7029,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
111,76,20,1115,7134,1,Festivo,9,450,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,77,9,1125,2356,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
138,200,13,1110,9181,1,Festivo,9,1,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
138,77,20,1110,9181,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
139,76,15,1112,9181,1,Sabado,9,14,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,76,15,1115,7023,1,Sabado,9,0,139,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
111,76,16,1115,7119,1,Festivo,9,122,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
111,77,7,1115,7944,1,Festivo,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
111,76,10,1125,2693,1,Festivo,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
711,76,22,1151,7118,1,Sabado,9,121,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
111,77,5,1151,7123,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
111,76,21,1151,7130,2,Festivo,9,0,934,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
111,77,15,1151,7134,1,Festivo,9,0,934,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
111,76,20,1151,7138,1,Festivo,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
711,50,1,1151,7142,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
111,76,9,1151,8184,2,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
111,200,10,1115,8184,2,Festivo,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,150,14,1125,9413,1,Festivo,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
111,76,16,1125,9449,1,Sabado,9,1,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
111,76,19,1125,9449,1,Sabado,9,1,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,79,7,1125,9449,1,Festivo,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,76,14,1125,9449,1,Sabado,9,111,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,76,19,1125,9449,2,Festivo,9,14,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
138,50,7,1110,1769,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
138,77,10,1110,9181,9,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
138,-1,20,1110,9181,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
138,77,17,1112,1773,1,Sabado,9,934,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
138,79,17,1114,9181,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,76,17,1115,7025,1,Festivo,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
111,77,19,1115,7122,2,Sabado,9,0,122,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,76,13,1125,2356,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,-1,12,1125,9413,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
111,77,17,1125,9449,1,Sabado,9,15,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
121,76,15,1125,9449,1,Sabado,9,14,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,77,16,1125,9449,1,Festivo,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,76,12,1151,1115,1,Festivo,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,77,16,1151,7019,2,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,77,9,1151,7023,1,Festivo,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
138,76,10,1156,9181,1,Festivo,9,1,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
139,77,12,1165,9181,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
139,76,18,1174,9181,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
138,77,16,1179,9181,2,Sabado,9,20,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
139,200,15,1180,9181,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
11,77,18,1183,1185,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
11,77,12,1183,1215,2,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
111,150,13,1125,9449,2,Festivo,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
111,76,21,1125,9449,2,Sabado,9,0,122,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,79,11,1125,9449,1,Festivo,9,1,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,50,17,1125,9449,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
711,50,23,1125,9449,3,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,76,18,1151,7020,1,Festivo,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,77,6,1151,7025,1,Festivo,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
121,76,15,1151,7018,1,Festivo,9,0,934,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,77,20,1151,7020,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,77,20,1151,7026,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,76,18,1151,7117,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
711,77,23,1151,7119,1,Festivo,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
111,170,16,1151,7125,1,Festivo,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
111,76,13,1151,7134,1,Festivo,9,0,934,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
111,77,8,1115,8184,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,76,7,1125,9413,1,Festivo,9,15,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
111,50,10,1125,9449,1,Festivo,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
111,77,17,1125,9449,2,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,76,10,1125,9449,1,Sabado,9,110,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,76,13,1125,9449,1,Festivo,9,108,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
122,77,11,1151,1115,1,Sabado,9,0,0,cbfe5aa9-dc2c-4eb4-bd83-e87e0812dc4d
