parada_id,parada_nombre,parada_utm_x,parada_utm_y,parada_latitud,parada_longitud,parada_direccion,parada_codigo_postal,municipio_nombre,parada_zona,parada_comarca,zona_telefonia_id,zona_censal_id,parada_altitud,TIPO_PARADA
4541,JAIME,319168,3138235,28.35788347479412,-16.845125453861574,TF-436,38480,BUENAVISTA DEL NORTE,ZONA NORTE,ICOD-DAUTE-ISLA BAJA,1.0,3801001004.0,301.8609924316406,TITSA OFICIAL
2755,CRUZ DE HILDA,319036,3133292,28.313268807248893,-16.84570065462074,TF-436,38489,BUENAVISTA DEL NORTE,ZONA NORTE,ICOD-DAUTE-ISLA BAJA,2.0,3801001002.0,782.6849975585938,TITSA OFICIAL
4544,EL PALMAR,319027,3136769,28.34463757798225,-16.84633465379212,"Carretera Palmar Tf 1427,  405",38489,BUENAVISTA DEL NORTE,ZONA NORTE,ICOD-DAUTE-ISLA BAJA,2.0,3801001002.0,511.22900390625,TITSA OFICIAL
7595,EL VENTOSO,320791,3126328,28.25067830056852,-16.826735539271336,"Carr. Puerto,  89",38684,SANTIAGO DEL TEIDE,ZONA SUR,SUROESTE,3.0,3804001003.0,307.4809875488281,TITSA OFICIAL
7606,CRUZ DEL ANGEL,322604,3127172,28.25853892559625,-16.808391150096245,"Ctra. Arguayo,  2b",38690,SANTIAGO DEL TEIDE,ZONA SUR,SUROESTE,4.0,3804001001.0,807.9439697265625,TITSA OFICIAL
7581,IGLESIA ,322746,3132487,28.30651215455233,-16.80775411466639,"Camino Real,  5",38690,SANTIAGO DEL TEIDE,ZONA SUR,SUROESTE,4.0,3804001001.0,976.197998046875,TITSA OFICIAL
4683,TAMAIMO (T),321592,3128462,28.270040909332003,-16.81890100053965,"TF-82,  44B",38684,SANTIAGO DEL TEIDE,ZONA SUR,SUROESTE,3.0,3804001003.0,585.9199829101562,TITSA OFICIAL
4601,IGLESIA DE SAN JOSÉ,324694,3134778,28.32744419714816,-16.788240978488542,"Av. Venezuela,  23",38435,EL TANQUE,ZONA NORTE,ICOD-DAUTE-ISLA BAJA,215.0,3804401002.0,1105.9439697265625,TITSA OFICIAL
4698,LOS MALECONES,323347,3135051,28.32972656834368,-16.802017309338698,TF-82,38435,EL TANQUE,ZONA NORTE,ICOD-DAUTE-ISLA BAJA,215.0,3804401002.0,987.7020263671876,TITSA OFICIAL
4710,LA GALERIA,326011,3138093,28.357529112817392,-16.77530936615103,"TF-82,  18",38435,EL TANQUE,ZONA NORTE,ICOD-DAUTE-ISLA BAJA,215.0,3804401001.0,588.7860107421875,TITSA OFICIAL
5156,CRUCE PLAYA LA ARENA,320538,3124393,28.233185570538414,-16.82901545482218,"Finca la Pardalera,  13",38686,GUÍA DE ISORA,ZONA SUR,SUROESTE,5.0,3801901008.0,181.06399536132807,TITSA OFICIAL
7481,CRUCE CHIGUERGE,324318,3123733,28.227740460991857,-16.790407129055822,"TF-82,  89",38688,GUÍA DE ISORA,ZONA SUR,SUROESTE,9.0,3801901007.0,647.2769775390625,TITSA OFICIAL
8379,CHINENE,328377,3117857,28.17525769365213,-16.748193667974597,,38688,GUÍA DE ISORA,ZONA SUR,SUROESTE,10.0,3801901003.0,769.4979858398438,TITSA OFICIAL
7245,LA CHIQUITA II,323455,3117656,28.172794979435988,-16.798280100810548,TF-47,38687,GUÍA DE ISORA,ZONA SUR,SUROESTE,8.0,3801901004.0,106.0479965209961,TITSA OFICIAL
7972,HIMECHE,323996,3120146,28.195333515208045,-16.793146583505997,TF-463,38687,GUÍA DE ISORA,ZONA SUR,SUROESTE,8.0,3801901004.0,271.4289855957031,TITSA OFICIAL
7498,CORAZONES DE TEJINA,326679,3118977,28.18514128798946,-16.76564924121006,"TF-82,  1A",38685,GUÍA DE ISORA,ZONA SUR,SUROESTE,10.0,3801901003.0,543.1849975585938,TITSA OFICIAL
7478,LAS VEREDAS,325147,3121956,28.2118175992097,-16.781695722170475,"Av. Isora,  58",38680,GUÍA DE ISORA,ZONA SUR,SUROESTE,9.0,3801901007.0,570.56201171875,TITSA OFICIAL
7469,TIJOCO BAJO (T),326898,3116427,28.16216198523704,-16.763041736506832,TF-82,38677,ADEJE,ZONA SUR,SUROESTE,11.0,3800101005.0,451.0459899902344,TITSA OFICIAL
7206,HOYA GRANDE (T),324582,3114211,28.14186211726664,-16.786288883739275,"TF-47,  3840",38678,ADEJE,ZONA SUR,SUROESTE,12.0,3800101005.0,66.53399658203125,TITSA OFICIAL
8333,EL ALJIBE,325740,3112172,28.12361787920872,-16.774198420915102,,38678,ADEJE,ZONA SUR,SUROESTE,15.0,3800101017.0,42.34999847412109,TITSA OFICIAL
7458,PIEDRA REDONDA,330257,3112007,28.12271646422443,-16.728202804523153,"Calle Piedra Redonda,  8",38670,ADEJE,ZONA SUR,SUROESTE,21.0,3800101001.0,279.1570129394531,TITSA OFICIAL
8047,CHARFA,329087,3111858,28.12122138866742,-16.740088724043048,Calle Charfa,38679,ADEJE,ZONA SUR,SUROESTE,32.0,3800101003.0,205.8580017089844,TITSA OFICIAL
8222,EUROPA,330209,3107432,28.0814299467524,-16.72802963324323,Av. Europa,38660,ADEJE,ZONA SUR,SUROESTE,24.0,3800101011.0,56.875,TITSA OFICIAL
8219,SIAM,330481,3106107,28.069509193087487,-16.72507133871524,"Av. Siam,  3",38670,ADEJE,ZONA SUR,SUROESTE,25.0,3800101011.0,53.494998931884766,TITSA OFICIAL
7723,FAÑABÉ PLAZA,329793,3108023,28.08670918844178,-16.732347456986496,"Av. de Bruselas,  233",38660,ADEJE,ZONA SUR,SUROESTE,35.0,3800101007.0,28.916000366210938,TITSA OFICIAL
7162,LA ENRAMADA,328279,3109278,28.097837603499578,-16.74793442620896,"Av. Virgen de Guadalupe,  20",38679,ADEJE,ZONA SUR,SUROESTE,32.0,3800101003.0,18.474000930786133,TITSA OFICIAL
7146,ZENTRAL CENTER,330025,3104783,28.057504256334948,-16.729518671637024,"Calle Noelia Afonso Cabrera,  10",38660,ARONA,ZONA SUR,ABONA,37.0,3800601011.0,15.98900032043457,TITSA OFICIAL
8161,SAN FRANCISCO,332706,3104655,28.05669014941429,-16.702230848085318,"TF-655,  19",38650,ARONA,ZONA SUR,ABONA,45.0,3800601015.0,91.77200317382812,TITSA OFICIAL
7661,CRUZ DEL GUANCHE,335673,3108492,28.09168355996347,-16.67258830439286,"Carr Sabinita a Llano Vento,  111",38627,ARONA,ZONA SUR,ABONA,40.0,3800601002.0,509.3819885253906,TITSA OFICIAL
7641,JUNGLE PARK,333952,3108196,28.088798042561923,-16.690057317637642,"Carr. General,  60",38652,ARONA,ZONA SUR,ABONA,41.0,3800601026.0,479.656005859375,TITSA OFICIAL
7695,MACHÍN,336964,3106025,28.069582428779952,-16.65911024988667,"Carr. General,  14",38627,ARONA,ZONA SUR,ABONA,55.0,3800601027.0,267.8970031738281,TITSA OFICIAL
7620,CHAYOFA,333411,3106358,28.07214545001896,-16.695301182407494,"TF-28,  13",38652,ARONA,ZONA SUR,ABONA,41.0,3800601026.0,243.6060028076172,TITSA OFICIAL
7137,PARQUE DE LA REINA,337016,3104131,28.052498485030377,-16.65831885769453,Autopista del Sur,38627,ARONA,ZONA SUR,ABONA,55.0,3800601027.0,175.63699340820312,TITSA OFICIAL
8107,CHO,336345,3103854,28.04991639973418,-16.665105238646415,"TF-655,  44",38632,ARONA,ZONA SUR,ABONA,58.0,3800601018.0,148.16299438476562,TITSA OFICIAL
