titulo_id,titulo_descripcion,titulo_grupo,titulo_subgrupo
0,Cambio Soporte Magnético....,Soporte,Monedero
1,10 Viajes Escolares,Escolar,Monedero
2,20 Viajes Escolares,Escolar,Monedero
3,30 Viajes Escolares,Escolar,Monedero
4,2 Viajes-Teresitas City Sigthseeing,Turistico,Monedero
5,Empleado MTSA,Personal MTSA,Temporal no joven
7,Título para ocasiones especiales. 2 dias ilimitado,Ocasiones Especiales,Temporal no joven
8,Seguridad MTSA. Para cuerpos y fuerzas de seguridad del estado,Otros Temporal,Temporal no joven
23,Familiar Titsa Interurbano.,Personal Titsa,Temporal no joven
25,Familiar Titsa Urbano,Personal Titsa,Temporal no joven
28,Jubilado de Titsa,Personal Titsa,Temporal no joven
29,Jubilado de Titsa (Solo urbanos),Personal Titsa,Temporal no joven
30,10 Viajes Servicio Urbano,Otros Viajes,Monedero
33,Trayecto 10 Viajes(Colegios Urbanos),Escolar,Monedero
35,5 viajes líneas Metropolitanas,Otros Viajes,Monedero
36,Bono Dinero Promocion Cabildo Comercio,Comercio,Monedero
37,IASS Baja Renta,Social,Social
38,Social Ayuntamiento Santa Cruz,Social,Social
40,Comercio Tradicional,Comercio,Monedero
41,Empleados/Familiar TITSA Interurbano,Personal Titsa,Temporal no joven
42,Empleado TITSA Urbano,Personal Titsa,Temporal no joven
50,Sencillo,Sencillo,Monedero
55,Ida/Vuelta TITSA (válido hoy),Otros Viajes,Monedero
56,Vuelta TITSA,Otros Viajes,Monedero
57,Pasajeros Lineas Gratuitas,Gratis,Monedero
58,_Dto.B.Turís.Ida/Vuel,Turistico,Monedero
59,_Dto.B.Turísti.Vuelta,Turistico,Monedero
62,recargas ten+móvil (antigua Vía Móvil) // TITSA.: BIllete conductor pago viamovi,Ten+Movil,Monedero
63,_Pack Bus Turístico Ida/Vuelta,Turistico,Monedero
64,_Pack Bus Turístico Vuelta,Turistico,Monedero
65,Complementario TITSA,Otros Viajes,Monedero
69,Título de pruebas para MTSA (varios viajes).,Pruebas,Monedero
70,Cortesía: Abono de tres días: Válido por 72 horas desde la primera validación,,Temporal no joven
71,Cortesía: Bono 10 viajes,,Monedero
72,1 dia. Título que permite viajar ilimitadamente hasta las 12 de la noche,Ocasiones Especiales,Temporal no joven
73,Mensual Metropolitanas,Otros Temporal,Temporal no joven
75,Mensual Metropolitanas,Otros Temporal,Temporal no joven
