;;;;;
Disposición y uso de una segunda residencia para vacaciones y escapadas de la ciudadanía vasca de 18 y más años por sexo y edad (%). 2024;;;;;
;;;;;
;;;;;
;Sí y paso todas las vacaciones y escapadas allí;Sí y paso parte de las vacaciones y escapadas allí;Sí, pero no voy;No;Ns/nc
Total;9,29785415677307;20,5581486787135;1,82126739657098;67,111903612462;1,21082615548051
Hombre (18-29);5,42083504221584;26,5805681773828;2,81430359651321;60,9982831228696;4,18601006101847
Hombre (30-49);1,98418421995572;20,3826174363213;0,68628760875126;76,2600523751306;0,686858359841159
Hombre (50-59);8,38000903073584;17,9361700145598;2,91479188483181;69,0339304688145;1,73509860105794
Hombre (60-74);12,5557064199513;24,4211839987134;1,41608757856924;60,369762357991;1,23725964477515
Mujer (18-29);3,83824664733395;25,6830132195542;1,18345397998584;68,6219435922133;0,673342560912712
Mujer (30-49);4,84138658107413;23,2728349532592;2,88643171563204;67,8813621082715;1,11798464176313
Mujer (50-59);5,69706794506336;17,7828481159515;1,84727076805807;72,9990080237183;1,6738051472087
Mujer (60-74);9,17586376667208;30,2520247674961;0,991940944878439;58,6878186100538;0,892351910899552
Mujer (75 y más);26,3760015798013;4,06612834652554;2,39620899464685;66,737310492959;0,424350586067295
;;;;;
En la segunda residencia se incluyen bungalows y caravanas fijas en el lugar;;;;;
;;;;;
Fuente: Departamento de Turismo, Comercio y Consumo. Hábitos turísticos y percepción sobre el turismo receptor;;;;;
Hombre (75 y más);26,7318745165906;7,25084346354337;1,331208420023;64,686073599843;0
