;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fuentes de información consultadas de la ciudadanía vasca de 18 y más años para planificar el viaje de verano por cuestiones relacionadas con la organización del mismo por sexo y edad (%). 2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sobre la gastronomía (qué comer, dónde comer, etc..);;;;;;Sobre las actividades a realizar en el lugar;;;;;;Sobre el alojamiento;;;;;;Sobre el medio o los medios de transporte más adecuados ;;;;;;Sobre el lugar concreto al que viajar;;;;;
;Internet;Agencia de viaje presencial;Amigos o familiares;Otras;No utilizará / No corresponde;Ns/nc;Internet;Agencia de viaje presencial;Amigos o familiares;Otras;No utilizará / No corresponde;Ns/nc;Internet;Agencia de viaje presencial;Amigos o familiares;Otras;No utilizará / No corresponde;Ns/nc;Internet;Agencia de viaje presencial;Amigos o familiares;Otras;No utilizará / No corresponde;Ns/nc;Internet;Agencia de viaje presencial;Amigos o familiares;Otras;No utilizará / No corresponde;Ns/nc
Total;65,5344029154464;8,6341844816737;17,1442946032147;0,631858702027771;5,23004687766412;2,82521241997329;59,0259376187355;9,39278821795151;8,71547746525589;1,05800237134762;17,8156094204397;3,99218490626978;70,4223476987531;10,9197955500595;10,2212905911262;0,94261233582331;5,40438675878233;2,08956706545546;59,4623188598139;8,51957259211106;18,7592980264533;2,08664363250806;6,86670304767172;4,30546384144197;57,4988140592828;4,71896556737347;19,5404121210456;2,33901050325197;8,38444172528192;7,51835602376432
Hombre (18-29);65,1815051292756;2,31885311091922;25,3088252270848;0;5,06370690266187;2,12710963005852;66,5546365121206;15,1817871260405;10,2275801695277;0;8,03599619231126;0;66,5527594779066;16,6384513697637;8,6895663379695;0;5,99211318430168;2,12710963005852;59,0298648573437;15,1817871260405;16,7549788820881;1,8525879626482;2,27267729753305;4,90810387434654;42,7496019827966;10,1408172406239;24,8375191863021;6,89355784806485;10,185842839615;5,19266090259766
Hombre (30-49);71,5890221176644;2,08194132429219;15,2819779394098;0;7,96138507403934;3,08567354459416;64,0953735465624;2,08194132429219;8,70537037518508;1,11259612453766;20,6192059905481;3,38551263887449;78,6959323369536;3,28448193456458;8,99765017864501;0;7,91097897160707;1,11095657822972;74,1267402438584;3,28448193456458;14,1766567413976;0;6,69115848914167;1,72096259103771;64,9491183791545;0,860481295518853;18,2937008822937;2,33405615331099;10,3681058408921;3,19453744882985
Hombre (50-59);75,3424803261321;4,93010305547082;6,39840067076461;3,26255466357742;2,76207499389808;7,30438629015696;55,8326781154683;4,79957744125332;4,65318236667488;3,26255466357742;21,5574606345344;9,89454677849162;71,7514760430911;4,93010305547082;2,77008343359824;3,26255466357742;8,86858198263623;8,41720082162622;58,8978785284644;8,06213210483074;14,6403840034884;3,26255466357742;5,91239197272258;9,22465872691647;66,0874333556371;4,79957744125332;8,80248645717074;3,26255466357742;4,29909777157398;12,7488503107875
Hombre (75 y más);32,3025124281491;20,2880191281641;36,9583783316184;0;10,4510901120684;0;22,388341841351;30,2021897149622;9,91417058679809;0;30,8163508109348;6,67894704595386;22,388341841351;40,1163603017603;17,1300371580222;0;20,3652606988665;0;9,91417058679809;30,2021897149622;17,1300371580222;0;20,3652606988665;22,388341841351;9,91417058679809;20,2880191281641;17,1300371580222;9,91417058679809;20,3652606988665;22,388341841351
Mujer (18-29);62,346061571124;4,45329876779136;25,2724766359755;0,805433290300651;2,83119337636113;4,29153635844727;71,7445069651564;5,52250623693022;13,7771889799335;0;8,95579781797985;0;69,2518042660899;4,45329876779136;19,3879470643473;0,805433290300651;6,10151661147078;0;55,8319805097477;4,45329876779136;29,0828145697425;0,805433290300651;2,83119337636113;6,99527948605667;56,2166166163602;1,94808806488286;26,7445776904038;0;6,34036979427119;8,750347834082
Mujer (30-49);66,2137185859794;8,08937252289811;19,639072367652;0,511865508459289;1,55715713176645;3,98881388324472;64,4825180503904;7,99811797043286;10,3469957802665;1,99440694162236;13,7581020798996;1,41985917738826;76,6638503842073;8,58007154368621;10,3588391338041;1,99440694162236;2,40283199668007;0;66,9165937372204;6,87457563993417;14,2484757764207;4,50067939170401;5,84850677765085;1,61116867706996;69,4619035023857;2,6172385306256;15,5339281350884;1,99440694162236;4,68964519918409;5,70287769109388
Mujer (50-59);66,8753867587716;11,654721248548;12,1128444477895;0,86346692035265;8,49358062453825;0;66,246728188536;10,3073574026355;0,30882618001373;0,86346692035265;16,7997363283811;5,47388498008103;77,7056482801074;14,4057980888623;7,02508671067762;0,86346692035265;0;0;65,2740741764;3,38283535188968;18,772733002424;3,68716070192572;5,86350112290343;3,01969564445722;61,3703577827611;1,90650541622908;19,006085122201;0,86346692035265;6,90936706325314;9,94421769520303
Mujer (60-74);46,1966475811723;29,7301476804681;9,25584660619866;0;14,8173581321609;0;42,545650612451;23,1282138737391;1,80197710183668;0;29,3366006869596;3,18755772501355;56,3075120203012;29,7301476804681;3,65099696872133;0;7,8940514180456;2,41729191246379;34,7763509149052;19,5770698249533;14,5302139818682;1,84901986688465;26,8500534989249;2,41729191246379;30,767253376554;13,6506599764131;21,6465793161802;2,41729191246379;24,1113886790748;7,40682673931401
Mujer (75 y más);0;29,5987619195367;70,4012380804633;0;0;0;0;29,5987619195367;70,4012380804633;0;0;0;0;14,348380233081;24,3255363045415;0;15,2503816864557;46,0757017759218;0;0;70,4012380804633;0;29,5987619195367;0;0;0;24,3255363045415;0;15,2503816864557;60,4240820090029
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Población que ha contestado que es probable que viaje en verano habiendo comenzado a planificar el viaje y que no piensa pasar todo el verano en su segunda residencia ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombre (60-74);72,1992877401662;13,0819859589497;12,7504537498617;0;1,96827255102246;0;37,4782663320297;11,4325178172291;11,5001742416794;0;28,1030085228462;11,4860330862156;64,5300566156093;13,0819859589497;18,4514123233961;0;1,96827255102246;1,96827255102246;49,4028895205781;13,0819859589497;31,9507280198892;0;0;5,56439650058298;56,3387759760813;7,03162230595319;28,6115050206837;0;3,76579501906549;4,25230167821626
Fuente: Departamento de Turismo, Comercio y Consumo. Hábitos turísticos y percepción sobre el turismo receptor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
