;;;;
Importancia concedida por la ciudadanía vasca de 18 y más años al sector turístico como elemento de desarrollo económico y de empleo por destino turístico de residencia (%). 2024;;;;
;;;;
;;;;
;Muy importante;Algo importante;Nada importante;Ns/nc
Total;51,3229926781413;37,4656267916154;4,24702287833947;6,96435765190392
Vitoria-Gasteiz;47,9744583436314;40,820002518976;3,55298047794101;7,65255865945172
Bilbao;50,6291372121385;35,5727121397429;7,14514425084508;6,65300639727339
Donostia / San Sebastián;52,3728501649899;37,3547044876955;5,50176977698136;4,77067557033342
Costa Vasca;49,0915387876225;39,9238762272996;3,52520466388845;7,45938032118942
Rioja Alavesa;59,2499949081433;28,8549177155891;0,768361236710296;11,1267261395573
;;;;
;;;;
Fuente: Departamento de Turismo, Comercio y Consumo. Hábitos turísticos y percepción sobre el turismo receptor;;;;
Interior;53,0956162759918;36,3439818812038;3,4999656053697;7,06043623743458
